         MJD         m       dm  uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
59621.884258 19.569016      NaN  NaN    18 o    0    7.69 89.89063 -58.32455 10365.34  4075.39 2.64 1.98 -79.7 -0.391    19.15 20.30 03a59622o0259o 0xc00800         NaN
59621.887014 18.847027 0.206807  NaN    20 o    0    8.54 89.89063 -58.32455 10308.09  3987.69 2.46 1.96 -79.3 -0.417    19.16 20.30 03a59622o0265o 0xc00800         NaN
59621.896224 19.922338      NaN  NaN    13 o    0    9.35 89.89063 -58.32455   737.51  3800.08 2.68 2.03 -89.3 -0.408    19.15 20.31 03a59622o0285o 0xc00800         NaN
59621.896680 19.569016      NaN  NaN    18 o    0    5.28 89.89063 -58.32455 10285.72  4095.26 2.54 1.94 -80.5 -0.402    19.13 20.25 03a59622o0286o 0xc00800         NaN
59621.899439 19.631075      NaN  NaN    17 o    0    4.27 89.89063 -58.32455   757.54  3839.41 2.60 2.02  88.7 -0.414    19.18 20.30 03a59622o0292o 0xc00800         NaN
59621.904612 19.063754      NaN  NaN    20 o    0    4.15 89.89063 -58.32455   700.13  3767.60 2.59 1.96  87.2 -0.417    19.19 20.31 03a59622o0303o 0xc00800         NaN
59621.917786 19.569016      NaN  NaN    18 o    0    3.15 89.89063 -58.32455   678.78  3888.91 2.68 2.06 -89.1 -0.403    19.12 20.28 03a59622o0331o 0xc00800         NaN
59628.068104 18.496580 0.239611  NaN    32 o    0    1.55 89.89063 -58.32455 10405.70  6533.60 3.04 2.49  -9.3 -0.419    18.73 19.73 04a59628o0110o 0xc00800         NaN
59628.073372 19.051202      NaN  NaN    29 o    0    4.19 89.89063 -58.32455 10422.27  6570.32 2.87 2.43  -5.3 -0.441    18.75 19.72 04a59628o0121o 0xc00800         NaN
59628.077019 18.317510      NaN  NaN    31 o    0    1.71 89.89063 -58.32455 10364.01  6486.20 2.72 2.41 -12.8 -0.435    18.76 19.68 04a59628o0129o 0xc00800         NaN
59628.080215 18.889197 0.290246  NaN    27 o    0    1.06 89.89063 -58.32455  1016.49  6425.29 2.63 2.28  85.4 -0.400    18.76 19.69 04a59628o0136o 0xc00800         NaN
59628.082950 18.431198 0.176256  NaN    25 o    0    1.76 89.89063 -58.32455  1033.79  6460.62 2.62 2.21  85.8 -0.395    18.80 19.68 04a59628o0142o 0xc00800         NaN
59628.086658 18.757738      NaN  NaN    25 o    0    2.85 89.89063 -58.32455 10336.38  6594.09 2.73 2.26  -7.8 -0.439    18.77 19.65 04a59628o0150o 0xc00800         NaN
59628.088933 17.837796 0.106125  NaN    26 o    0    1.83 89.89063 -58.32455   973.71  6381.67 2.60 2.21  83.8 -0.382    18.82 19.67 04a59628o0155o 0xc00800         NaN
59628.103597 18.574166      NaN  NaN    24 o    0    2.85 89.89063 -58.32455   943.32  6490.18 2.48 2.11  85.7 -0.392    18.85 19.66 04a59628o0187o 0xc00800         NaN
59632.122815 18.180496 0.100738  NaN    18 o    0    2.50 89.89063 -58.32455 10367.20  6501.30 3.43 2.82  -8.9 -0.374    19.00 20.64 04a59632o0155o 0xc00800         NaN
59632.127404 18.039019 0.108082  NaN    22 o    0    1.83 89.89063 -58.32455 10382.84  6538.86 3.08 2.58  -9.4 -0.401    19.11 20.61 04a59632o0165o 0xc00800         NaN
59632.132944 18.152867 0.103663  NaN    19 o    0    2.35 89.89063 -58.32455 10321.99  6455.02 3.06 2.52  -9.3 -0.398    19.07 20.57 04a59632o0177o 0xc00800         NaN
59632.141261 17.590634 0.065014  NaN    20 o    0    1.46 89.89063 -58.32455   975.64  6384.78 3.06 2.85  80.3 -0.352    18.95 20.53 04a59632o0195o 0xc00900         NaN
59632.143108 17.630360 0.070809  NaN    21 o    0    1.86 89.89063 -58.32455 10295.19  6566.71 3.31 2.87  -9.8 -0.356    18.94 20.48 04a59632o0199o 0xc00900         NaN
59632.145425 17.574501 0.067258  NaN    21 o    0    1.51 89.89063 -58.32455   990.08  6421.01 2.98 2.73  84.3 -0.358    19.02 20.50 04a59632o0204o 0xc00900         NaN
59632.152363 17.990970 0.094003  NaN    20 o    0    1.39 89.89063 -58.32455   929.35  6344.13 2.93 2.48  68.8 -0.363    19.04 20.44 04a59632o0219o 0xc00800         NaN
59632.163068 17.564935 0.060319  NaN    19 o    0    2.14 89.89063 -58.32455   900.30  6458.87 2.59 2.39  66.9 -0.376    19.09 20.39 04a59632o0242o 0xc00800         NaN
59636.109413 17.664614 0.048719  NaN    14 o    0    7.36 89.89063 -58.32455  8452.83  6467.27 2.70 2.38 -17.5 -0.420    19.50 21.14 04a59636o0081o 0xc00800         NaN
59636.119054 17.664614 0.052199  NaN    15 o    0    7.87 89.89063 -58.32455  8464.55  6503.12 2.64 2.36 -22.0 -0.411    19.48 21.08 04a59636o0102o 0xc00800         NaN
