,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
522,59061.440648,-20.932,1.056,-15,16,o,0,1.21,329.82726,-6.99383,6765.61,6190.12,2.95,2.08,34.5,-0.416,19.06,19.78,02a59061o0440o
523,59062.422265,20.414,0.634,25,16,o,0,1.62,329.82726,-6.99383,6827.88,6111.49,2.38,1.89,34.7,-0.436,18.99,19.45,02a59062o0397o
524,59062.427825,20.555,0.862,22,19,o,0,0.98,329.82726,-6.99383,6845.71,6151.72,2.37,1.93,39.6,-0.429,19.0,19.46,02a59062o0409o
525,59062.429668,-20.353,0.72,-26,19,o,0,1.11,329.82726,-6.99383,6789.05,6074.4,2.36,1.94,34.7,-0.43,18.98,19.46,02a59062o0413o
526,59062.435617,-21.898,3.125,-6,20,o,0,1.07,329.82726,-6.99383,6769.91,6188.66,2.39,1.93,32.0,-0.437,18.98,19.48,02a59062o0426o
527,59063.381413,-20.636,4.159,-20,84,o,0,1.43,329.82726,-6.99383,6006.44,10167.92,2.93,2.41,5.0,-0.26,17.15,17.99,01a59063o0321o
528,59063.383255,-19.864,0.76,-41,31,o,0,1.63,329.82726,-6.99383,5983.65,10128.38,2.27,1.94,-2.2,-0.372,17.79,18.4,01a59063o0325o
529,59063.391093,-18.873,0.54,-102,55,o,0,0.93,329.82726,-6.99383,6064.85,10091.13,2.73,2.2,-0.4,-0.305,17.82,18.15,01a59063o0342o
530,59068.508855,21.48,1.939,9,18,o,0,0.94,329.82726,-6.99383,882.99,4507.93,2.04,1.9,4.5,-0.406,19.07,19.56,01a59068o0500o
531,59068.512077,-20.216,0.646,-30,19,o,0,0.7,329.82726,-6.99383,904.25,4546.92,1.91,1.77,2.2,-0.413,19.12,19.56,01a59068o0507o
532,59068.519951,21.765,2.677,7,19,o,0,0.77,329.82726,-6.99383,845.69,4469.96,1.92,1.82,85.4,-0.421,19.14,19.56,01a59068o0524o
533,59068.554198,20.866,0.827,16,14,o,0,1.58,329.82726,-6.99383,828.36,4584.09,1.93,1.74,87.2,-0.423,19.13,19.5,01a59068o0597o
534,59069.537464,23.974,22.714,1,21,o,0,1.02,329.82726,-6.99383,9780.39,8035.99,2.43,2.27,52.8,-0.422,19.02,19.68,02a59069o0656o
