         MJD         m       dm     uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57605.390662 18.286218 0.104872 -1640.0    17 c    0    7.80 292.75253 48.34868  3326.04  5281.38 4.83 3.82  -7.8 -0.362    19.53 21.84 02a57605o0303c 0xc00800     -1816.0
57605.398862 16.345993 0.015496  -765.0    15 c    0   76.06 292.75253 48.34868  3375.54  5355.64 4.64 4.03 -13.4 -0.348    19.51 21.80 02a57605o0319c 0xc00801     -1816.0
57605.421050 15.834790 0.009032  -133.0    14 c    0  257.53 292.75253 48.34868  3402.93  5240.22 4.15 3.99 -52.9 -0.394    19.63 21.89 02a57605o0362c 0xc00801     -1816.0
57605.436696 16.715246 0.021773 -1068.0    15 c    0   45.07 292.75253 48.34868  3366.56  5297.58 3.98 3.78 -53.3 -0.398    19.65 21.84 02a57605o0391c 0xc00801     -1816.0
57609.378243 15.253028 0.006795  1060.0    18 c    0  520.21 292.75253 48.34868   568.04  8443.27 4.20 3.61 -57.5 -0.440    19.71 21.90 02a57609o0275c 0xc00a01     -1816.0
57609.386602 15.145641 0.006497  1359.0    19 c    0  492.57 292.75253 48.34868   542.70  8405.32 4.19 3.58 -56.8 -0.440    19.62 21.77 02a57609o0292c 0xc00a01     -1816.0
57609.396416 15.098464 0.006548  1500.0    20 c    0  444.20 292.75253 48.34868  9996.07  8466.26 4.72 3.60  82.1 -0.443    19.51 21.64 02a57609o0312c 0xc00801     -1816.0
57609.406302 14.542991 0.006085  3715.0    31 c    0  508.33 292.75253 48.34868  9969.77  8426.16 4.67 3.52  81.8 -0.440    18.94 20.88 02a57609o0332c 0xc00801     -1816.0
57609.408239 14.435252 0.004799  4292.0    27 c    0  902.00 292.75253 48.34868   609.53  8479.63 4.24 3.64 -57.1 -0.437    19.19 21.21 02a57609o0336c 0xc00a01     -1816.0
57609.420069 14.962319 0.006066  1943.0    21 c    0  624.24 292.75253 48.34868   622.05  8359.72 4.17 3.57 -56.2 -0.446    19.46 21.55 02a57609o0360c 0xc00a01     -1816.0
57609.422527 14.702339 0.005001  2960.0    22 c    0  825.62 292.75253 48.34868 10037.50  8488.86 4.65 3.55  81.7 -0.436    19.45 21.53 02a57609o0365c 0xc00801     -1816.0
57609.428343 14.650622 0.004335  3193.0    20 c    0  971.53 292.75253 48.34868 10049.80  8372.29 4.72 3.53  83.1 -0.438    19.44 21.53 02a57609o0377c 0xc00801     -1816.0
57609.429337 14.774231 0.004372  2654.0    18 c    0 1255.16 292.75253 48.34868   583.63  8420.29 4.15 3.60 -56.5 -0.439    19.51 21.62 02a57609o0379c 0xc00a01     -1816.0
57609.451184 14.447048 0.004852  4226.0    27 c    0  726.19 292.75253 48.34868 10012.79  8450.07 4.74 3.59  82.8 -0.433    19.10 21.09 02a57609o0422c 0xc00801     -1816.0
57625.383102 16.408721 0.018606  -824.0    17 c    0   77.85 292.75253 48.34868  3841.45  8017.22 4.03 3.71 -60.7 -0.444    19.71 21.97 02a57625o0230c 0xc00801     -1816.0
57625.388151 16.127742 0.015209  -531.0    18 c    0  105.79 292.75253 48.34868  3907.57  8095.28 3.99 3.72 -64.5 -0.447    19.70 21.93 02a57625o0239c 0xc00801     -1816.0
57625.402573 15.373479 0.008014   758.0    19 c    0  384.32 292.75253 48.34868  3919.50  7976.92 3.94 3.67 -58.0 -0.452    19.69 21.89 02a57625o0264c 0xc00801     -1816.0
57625.413849 15.403414 0.007371   688.0    17 c    0  471.86 292.75253 48.34868  3879.89  8034.43 4.04 3.78 -61.4 -0.440    19.64 21.84 02a57625o0284c 0xc00801     -1816.0
57660.285984 15.371793 0.006738   762.0    16 c    0  521.38 292.75253 48.34868   495.52  8292.44 3.96 3.65  39.1 -0.435    19.49 21.42 02a57660o0149c 0xc00a01     -1816.0
57660.287483 15.933315 0.012009  -279.0    17 c    0  152.09 292.75253 48.34868  9919.95  8313.34 4.05 3.60  86.3 -0.424    19.49 21.41 02a57660o0152c 0xc00801     -1816.0
57660.295555 15.651232 0.009261   177.0    17 c    0  304.59 292.75253 48.34868   481.87  8251.51 3.88 3.60  37.7 -0.445    19.50 21.41 02a57660o0168c 0xc00a01     -1816.0
57660.314784 15.048551 0.006254  1656.0    20 c    0  603.06 292.75253 48.34868   532.46  8323.73 3.90 3.59  36.7 -0.430    19.51 21.43 02a57660o0206c 0xc00a01     -1816.0
57660.315781 14.610200 0.007100  3383.0    34 c    0  433.13 292.75253 48.34868  9905.58  8269.97 3.97 3.50  89.8 -0.421    18.72 20.52 02a57660o0208c 0xc00801     -1816.0
57660.320269 14.974227 0.007301  1902.0    25 c    0  430.48 292.75253 48.34868  9959.43  8350.42 4.07 3.59  89.2 -0.410    19.13 21.01 02a57660o0217c 0xc00801     -1816.0
57660.321777 13.784836 0.004785  9303.0    49 c    0 1015.19 292.75253 48.34868   560.09  8204.05 3.98 3.67  42.3 -0.423    18.45 20.23 02a57660o0220c 0xc00a01     -1816.0
57668.268058 15.427528 0.008423   633.0    19 c    0  333.64 292.75253 48.34868  2593.50  5913.61 3.85 3.74  71.2 -0.397    19.30 21.02 02a57668o0127c 0xc00801     -1816.0
57668.278907 18.978793 0.233492 -1723.0    20 c    0    8.44 292.75253 48.34868  2569.08  5873.65 3.84 3.70  73.0 -0.393    19.30 21.00 02a57668o0149c 0xc00800     -1816.0
57668.293310 18.955691 0.205718 -1721.0    18 c    0    6.15 292.75253 48.34868  2631.78  5947.95 3.79 3.66  73.5 -0.393    19.31 20.99 02a57668o0178c 0xc00800     -1816.0
57668.310710 18.526952 0.154005 -1675.0    20 c    0    7.40 292.75253 48.34868  2645.00  5830.37 3.86 3.73  78.0 -0.397    19.26 20.97 02a57668o0213c 0xc00800     -1816.0
57668.322017 18.806434      NaN -1764.0    19 c    0    5.68 292.75253 48.34868  2606.96  5887.15 3.76 3.61  75.7 -0.399    19.29 20.96 02a57668o0236c 0xc00800     -1816.0
57686.226358 18.590371 0.163269 -1683.0    20 c    0    5.05 292.75253 48.34868   999.55  8342.49 3.81 3.51  37.5 -0.453    19.49 21.41 02a57686o0096c 0xc00800     -1816.0
57686.243796 15.751015 0.011944     2.0    20 c    0  195.80 292.75253 48.34868   986.88  8300.62 3.73 3.46  33.4 -0.457    19.46 21.34 02a57686o0131c 0xc00a01     -1816.0
57686.245764 15.305624 0.007133   924.0    18 c    0  505.84 292.75253 48.34868 10424.91  8393.99 3.74 3.13 -81.0 -0.444    19.47 21.32 02a57686o0135c 0xc00801     -1816.0
57686.246747 15.041382 0.005592  1679.0    18 c    0  903.75 292.75253 48.34868 10411.38  8354.38 3.76 3.17 -81.0 -0.450    19.46 21.32 02a57686o0137c 0xc00801     -1816.0
57686.248733 15.293017 0.007834   956.0    20 c    0  406.92 292.75253 48.34868  1038.46  8373.25 3.77 3.49  31.3 -0.459    19.43 21.30 02a57686o0141c 0xc00a01     -1816.0
57686.260717 14.831073 0.005119  2426.0    20 c    0  949.16 292.75253 48.34868  1065.05  8255.07 3.72 3.46  31.7 -0.464    19.44 21.28 02a57686o0165c 0xc00a01     -1816.0
57686.262195 14.947688 0.005414  1994.0    19 c    0  825.31 292.75253 48.34868 10464.82  8433.73 3.79 3.22 -82.2 -0.441    19.44 21.28 02a57686o0168c 0xc00801     -1816.0
57686.271070 14.417446 0.004022  4393.0    23 c    0 1588.75 292.75253 48.34868 10489.46  8316.61 3.81 3.25 -82.8 -0.433    19.46 21.31 02a57686o0186c 0xc00801     -1816.0
57686.272541 16.026952 0.014630  -406.0    19 c    0  119.58 292.75253 48.34868  1023.65  8313.28 3.72 3.46  33.0 -0.468    19.42 21.28 02a57686o0189c 0xc00a01     -1816.0
57686.292440 15.542957 0.008875   386.0    18 c    0  296.93 292.75253 48.34868 10449.87  8372.55 3.82 3.22 -80.4 -0.444    19.44 21.30 02a57686o0229c 0xc00801     -1816.0
57690.226915 16.943818 0.051958 -1210.0    29 c    0   16.33 292.75253 48.34868  1658.58  8676.76 4.91 4.64  11.0 -0.352    18.90 20.85 02a57690o0092c 0xc00801     -1816.0
57690.245990 18.304885 0.138071 -1643.0    22 c    0   12.06 292.75253 48.34868  1634.88  8636.33 3.99 3.85  44.9 -0.415    19.39 21.18 02a57690o0129c 0xc00801     -1816.0
57690.251092 15.419137 0.009238   652.0    21 c    0  282.59 292.75253 48.34868  1699.06  8710.37 4.09 3.96  40.4 -0.405    19.37 21.18 02a57690o0139c 0xc00801     -1816.0
57690.261398 15.298121 0.007477   943.0    19 c    0  360.27 292.75253 48.34868  1711.68  8592.81 4.28 4.14  41.6 -0.394    19.30 21.16 02a57690o0159c 0xc00801     -1816.0
57690.274720 14.819363 0.004558  2472.0    18 c    0 1031.74 292.75253 48.34868  1671.29  8650.74 4.02 3.86  42.4 -0.418    19.33 21.10 02a57690o0185c 0xc00801     -1816.0
57694.225761 15.718076 0.010429    58.0    18 c    0  188.51 292.75253 48.34868  1110.92  8211.97 4.16 3.96  37.9 -0.406    19.52 21.51 02a57694o0093c 0xc00801     -1816.0
57694.228843 15.890379 0.012222  -217.0    18 c    0  146.90 292.75253 48.34868  1098.45  8174.16 4.06 3.86  46.6 -0.420    19.53 21.50 02a57694o0099c 0xc00a01     -1816.0
57694.243816 15.666041 0.011045   150.0    20 c    0  177.67 292.75253 48.34868  1147.63  8249.29 4.04 3.79  44.7 -0.418    19.53 21.47 02a57694o0128c 0xc00801     -1816.0
57694.246408 13.790220 0.003533  9248.0    36 c    0 1549.54 292.75253 48.34868 10509.21  8238.96 4.27 3.80  79.6 -0.417    19.52 21.47 02a57694o0133c 0xc00801     -1816.0
57694.253587 15.733833 0.009993    31.0    17 c    0  231.52 292.75253 48.34868  1175.03  8126.64 4.02 3.82  43.1 -0.426    19.50 21.43 02a57694o0147c 0xc00801     -1816.0
57694.260896 19.142275 0.285006 -1736.0    21 c    0   11.44 292.75253 48.34868  1135.78  8187.53 4.01 3.82  41.8 -0.425    19.49 21.41 02a57694o0161c 0xc00801     -1816.0
57698.213449 19.014394 0.241275 -1726.0    20 c    0    5.89 292.75253 48.34868  2104.09  6350.94 3.95 3.79  32.3 -0.394    19.29 20.95 02a57698o0070c 0xc00800     -1816.0
57698.223731 15.761819 0.011461   -16.0    19 c    0  193.16 292.75253 48.34868  2091.36  6311.55 3.91 3.75  46.0 -0.402    19.29 20.93 02a57698o0090c 0xc00801     -1816.0
57698.231980 19.256669 0.301593 -1744.0    20 c    0    6.60 292.75253 48.34868  2144.65  6384.62 3.80 3.63  55.4 -0.412    19.31 20.92 02a57698o0106c 0xc00800     -1816.0
57698.241800 15.602235 0.009894   269.0    19 c    0  232.08 292.75253 48.34868  2171.28  6266.56 3.86 3.70  61.4 -0.411    19.27 20.90 02a57698o0125c 0xc00801     -1816.0
57698.260949 18.857417      NaN -1781.0    23 c    0    3.34 292.75253 48.34868  2130.16  6322.75 3.94 3.76  61.8 -0.406    19.21 20.84 02a57698o0162c 0xc00800     -1816.0
57718.205121 19.142275 0.257862 -1736.0    19 c    0    7.43 292.75253 48.34868  1975.06  5976.11 4.31 4.10  63.1 -0.370    19.28 21.18 02a57718o0029c 0xc00800     -1816.0
57718.212823 18.738855 0.243355 -1700.0    26 c    0    6.64 292.75253 48.34868  1949.48  5937.18 4.45 4.25  64.3 -0.374    19.07 20.96 02a57718o0044c 0xc00800     -1816.0
