,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1056,59782.961947,18.88,0.543,102,55,o,0,1.44,200.47854,16.74437,4943.43,890.65,2.77,2.61,48.6,-0.384,17.56,17.58,04a59783o0033o
1057,59782.965606,20.006,1.098,36,40,o,0,1.01,200.47854,16.74437,4964.74,927.25,2.74,2.63,39.3,-0.393,18.12,18.52,04a59783o0041o
1058,59782.97303,20.663,1.269,20,25,o,0,0.98,200.47854,16.74437,4912.16,844.19,2.98,2.85,54.6,-0.363,18.62,19.64,04a59783o0057o
1059,59782.984188,-22.491,5.056,-4,18,o,0,1.16,200.47854,16.74437,4900.0,953.57,2.85,2.76,44.8,-0.383,18.91,20.3,04a59783o0081o
1060,59783.308438,19.851,0.433,42,18,o,0,0.98,200.47854,16.74437,643.91,3612.31,2.99,2.55,-47.2,-0.538,19.19,20.41,01a59783o0161o
1061,59783.311639,20.638,0.796,20,16,o,0,1.08,200.47854,16.74437,668.46,3649.79,2.64,2.43,-46.4,-0.555,19.22,20.43,01a59783o0168o
1062,59785.321056,21.517,1.538,9,14,c,0,1.0,200.47854,16.74437,5280.94,5115.73,2.75,2.46,30.0,-0.386,19.3,20.77,02a59785o0005c
1063,59785.325022,-20.91,0.77,-16,12,c,0,1.33,200.47854,16.74437,5261.79,5076.33,2.57,2.35,27.1,-0.393,19.32,20.78,02a59785o0013c
1064,59785.331811,-21.944,2.062,-6,12,c,0,1.21,200.47854,16.74437,5320.29,5152.4,2.83,2.61,23.6,-0.373,19.22,20.73,02a59785o0028c
1065,59785.34222,-20.622,0.64,-20,13,c,0,1.05,200.47854,16.74437,5339.62,5036.13,2.51,2.37,14.8,-0.402,19.23,20.65,02a59785o0051c
1066,59786.288736,-22.481,3.538,-4,13,c,0,0.8,200.47854,16.74437,9437.95,1545.01,2.53,2.19,-54.6,-0.426,19.46,20.86,02a59786o0107c
1067,59786.301427,23.096,6.5,2,14,c,0,0.89,200.47854,16.74437,9418.84,1505.96,2.56,2.25,-51.7,-0.427,19.42,20.85,02a59786o0135c
1068,59786.30459,-20.841,0.615,-17,10,c,0,1.25,200.47854,16.74437,9478.05,1583.63,2.65,2.21,-54.1,-0.433,19.42,20.85,02a59786o0142c
1069,59786.319159,23.256,8.0,2,14,c,0,1.24,200.47854,16.74437,9497.91,1467.68,2.74,2.25,-54.1,-0.425,19.42,20.85,02a59786o0174c
1070,59786.968008,-20.878,2.868,-16,46,o,0,1.21,200.47854,16.74437,8808.34,649.77,3.99,3.13,-24.6,-0.302,17.97,18.52,04a59787o0043o
1071,59786.971662,19.329,0.494,67,33,o,0,1.04,200.47854,16.74437,8829.61,686.43,3.72,2.84,-28.0,-0.305,18.34,19.11,04a59787o0051o
1072,59786.977087,21.974,4.762,6,28,o,0,1.17,200.47854,16.74437,8774.87,606.4,3.79,2.96,-27.7,-0.321,18.59,19.69,04a59787o0063o
1073,59786.989032,-20.627,1.09,-20,22,o,0,1.02,200.47854,16.74437,8760.98,718.78,3.62,2.83,-24.9,-0.328,18.8,20.03,04a59787o0089o
1074,59787.292099,20.254,0.487,29,14,o,0,1.05,200.47854,16.74437,3058.01,7069.56,2.76,2.57,-52.2,-0.5,19.3,20.57,01a59787o0124o
1075,59787.295284,21.212,1.129,12,13,o,0,1.35,200.47854,16.74437,3075.37,7109.01,2.84,2.65,-51.1,-0.487,19.22,20.55,01a59787o0131o
1076,59787.305758,-20.355,0.595,-26,16,o,0,1.41,200.47854,16.74437,3016.33,7034.0,3.09,2.8,-50.7,-0.458,19.13,20.46,01a59787o0154o
1077,59787.31124,-23.182,8.2,-2,16,o,0,1.04,200.47854,16.74437,2998.08,7150.48,2.92,2.55,-39.6,-0.498,19.18,20.4,01a59787o0166o
1078,59790.964029,20.209,1.345,30,40,c,0,0.94,200.47854,16.74437,8809.95,649.17,4.29,3.45,-28.3,-0.241,18.14,19.42,04a59791o0031c
1079,59790.967672,-22.067,5.071,-5,27,c,0,1.07,200.47854,16.74437,8830.96,685.81,4.35,3.77,-26.2,-0.244,18.45,20.17,04a59791o0039c
1080,59790.975391,20.341,0.606,26,16,c,0,1.03,200.47854,16.74437,8777.43,605.44,3.77,3.07,-25.2,-0.282,19.13,20.98,04a59791o0056c
