         MJD         m       dm    uJy   duJy F  err    chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57736.568081 18.542463      NaN      1     46 o    0     1.07 142.43306 3.07604  3324.89  5517.72  3.93  3.81  72.3 -0.419    18.34 19.16 02a57736o0713o   0.021739
57736.579965 18.649074      NaN    -60     42 o    0     1.13 142.43306 3.07604  3304.62  5635.01  3.63  3.55  74.1 -0.434    18.43 19.18 02a57736o0735o  -1.428571
57764.512967 15.228024      NaN  -1070    981 o    0     2.32 142.43306 3.07604  7161.00  7711.48 13.04  3.55  -7.4 -0.264    16.41 16.09 02a57764o0612o  -1.090724
57764.522919 16.982110      NaN    -51    195 o    0     0.93 142.43306 3.07604  3358.49  2769.54  3.65  3.62 -22.5 -0.404    16.97 16.85 02a57764o0630o  -0.261538
57764.545082 17.240748      NaN    110    117 o    0     1.31 142.43306 3.07604  7196.36  7753.29  3.32  3.15 -59.0 -0.511    17.95 18.29 02a57764o0670o   0.940171
57764.556596 18.063866      NaN     45     57 o    0     1.32 142.43306 3.07604  7215.17  7639.36  3.31  3.09 -62.0 -0.440    18.40 19.02 02a57764o0690o   0.789474
57764.577921 17.257360      NaN     37    139 o    0     2.28 142.43306 3.07604  7183.42  7701.06  3.78  3.44  -1.6 -0.480    17.44 17.76 02a57764o0728o   0.266187
57768.560944 16.020044      NaN    261    386 o    0     1.87 142.43306 3.07604  7994.48  5801.20  3.83  3.50  87.2 -0.590    16.91 17.22 02a57768o0694o   0.676166
57768.576459 17.793801      NaN     82     65 o    0     0.95 142.43306 3.07604  7978.27  5764.39  3.83  3.53 -87.9 -0.418    18.02 18.69 02a57768o0721o   1.261538
57768.588541 17.736543      NaN     85     69 o    0     0.83 142.43306 3.07604  8042.22  5841.95  3.71  3.35 -87.5 -0.443    18.07 18.69 02a57768o0743o   1.231884
57768.609572 17.949472      NaN     51     63 o    0     1.29 142.43306 3.07604  8062.21  5723.81  3.69  3.33 -88.1 -0.449    18.05 18.65 02a57768o0786o   0.809524
57768.613483 17.875167      NaN     59     66 o    0     1.45 142.43306 3.07604  8020.77  5778.71  3.78  3.42 -89.5 -0.428    18.02 18.64 02a57768o0794o   0.893939
57788.501825 19.155932      NaN     25     18 o    0     1.06 142.43306 3.07604  5587.48  7994.42  3.45  3.35  82.9 -0.469    19.40 21.00 02a57788o0560o   1.388889
57788.514230 19.696897      NaN    -34     16 o    0     1.37 142.43306 3.07604  5569.52  7953.41  3.42  3.32 -88.3 -0.471    19.43 21.05 02a57788o0581o  -2.125000
57788.529091 19.102305      NaN     23     20 o    0     0.93 142.43306 3.07604  5631.22  8032.04  3.49  3.46 -12.5 -0.461    19.39 21.05 02a57788o0611o   1.150000
57788.552477 19.026525      NaN     32     19 o    0     1.20 142.43306 3.07604  5652.75  7913.09  3.61  3.50  -0.7 -0.451    19.38 21.08 02a57788o0654o   1.684211
57788.557298 19.454622      NaN      6     18 o    0     0.98 142.43306 3.07604  5613.40  7968.90  3.44  3.40 -85.6 -0.464    19.41 21.05 02a57788o0664o   0.333333
57800.481631 19.076453      NaN     16     23 o    0     1.12 142.43306 3.07604  5431.12  7511.42  3.41  3.34  88.6 -0.469    19.05 20.30 02a57800o0352o   0.695652
57800.496938 18.598565      NaN    -42     44 o    0     0.83 142.43306 3.07604  1873.87  2643.48  4.30  4.08 -81.5 -0.546    18.53 20.01 01a57800o0510o  -0.954545
57800.498967 19.256669      NaN    -40     24 o    0     1.13 142.43306 3.07604  5412.71  7472.19  3.39  3.36 -83.9 -0.472    19.01 20.23 02a57800o0384o  -1.666667
57800.511210 18.729535      NaN    -36     39 o    0     1.11 142.43306 3.07604  1892.93  2682.02  4.24  3.97 -81.9 -0.554    18.58 20.02 01a57800o0537o  -0.923077
57800.516327 18.786693      NaN     39     24 o    0     1.29 142.43306 3.07604  5471.90  7549.51  3.35  3.31 -61.8 -0.481    18.98 20.16 02a57800o0416o   1.625000
57800.526220 18.445391      NaN     38     38 o    0     1.25 142.43306 3.07604  1836.52  2602.89  4.40  4.13 -83.3 -0.528    18.53 20.01 01a57800o0565o   1.000000
57800.532799 19.038793      NaN     10     26 o    0     1.07 142.43306 3.07604  5495.96  7430.07  3.40  3.35 -19.9 -0.473    18.91 20.06 02a57800o0446o   0.384615
57800.549261 18.526952      NaN     48     31 o    0     0.80 142.43306 3.07604  5458.46  7486.16  3.55  3.39   4.3 -0.465    18.83 19.98 02a57800o0476o   1.548387
57802.274728 18.104842      NaN     73     45 o    0     1.08 142.43306 3.07604  6993.54  6711.45  3.55  3.45 -83.5 -0.654    18.52 20.04 01a57802o0076o   1.622222
57802.284343 18.220396      NaN     55     44 o    0     1.23 142.43306 3.07604  7571.93  6127.56  3.52  3.41  82.4 -0.654    18.60 20.18 01a57802o0094o   1.250000
57802.290570 19.026525      NaN     29     20 o    0     1.01 142.43306 3.07604  3531.41  3772.63  3.65  3.52  86.8 -0.420    19.23 20.72 02a57802o0106o   1.450000
57802.294095 18.542463      NaN     22     39 o    0     1.07 142.43306 3.07604  6702.33  5840.30  3.63  3.55  81.7 -0.643    18.67 20.35 01a57802o0112o   0.564103
57802.300397 19.454622      NaN     -9     20 o    0     1.14 142.43306 3.07604  2950.45  4352.11  3.65  3.50  79.9 -0.426    19.27 20.80 02a57802o0124o  -0.450000
57802.304120 18.019544      NaN    105     40 o    0     1.21 142.43306 3.07604  7871.34  6995.70  4.14  3.77  89.3 -0.615    18.68 20.53 01a57802o0130o   2.625000
57802.310414 19.002397      NaN     31     20 o    0     0.94 142.43306 3.07604  3820.58  4647.17  3.64  3.49  83.7 -0.415    19.32 20.89 02a57802o0142o   1.550000
57802.313708 18.249822      NaN     71     37 o    0     1.09 142.43306 3.07604  6422.71  7289.25  3.87  3.72 -80.6 -0.606    18.74 20.60 01a57802o0147o   1.918919
57802.320880 19.287255      NaN     16     18 o    0     1.39 142.43306 3.07604  2662.91  3481.57  3.70  3.53  85.0 -0.418    19.37 20.99 02a57802o0160o   0.888889
57802.321030 18.267867      NaN     71     36 o    0     1.34 142.43306 3.07604  8151.34  5538.82  3.79  3.55  77.8 -0.646    18.82 20.70 01a57802o0160o   1.972222
57802.331166 19.569016      NaN     -4     18 o    0     0.69 142.43306 3.07604  4117.07  3201.33  3.60  3.48 -84.9 -0.421    19.45 21.10 02a57802o0177o  -0.222222
57802.335750 18.878500      NaN      6     32 o    0     1.33 142.43306 3.07604  7287.50  6409.81  3.52  3.42 -90.0 -0.632    18.91 20.79 01a57802o0189o   0.187500
57802.339049 19.569016      NaN     -3     18 o    0     1.00 142.43306 3.07604  2372.13  4934.87  3.65  3.51  75.5 -0.434    19.44 21.11 02a57802o0190o  -0.166667
57802.339274 18.582238      NaN     32     34 o    0     1.17 142.43306 3.07604  7285.13  6411.08  3.49  3.41 -84.8 -0.646    18.94 20.84 01a57802o0196o   0.941176
57802.353575 19.226921      NaN     29     15 o    0     1.65 142.43306 3.07604  3244.92  4069.51  3.65  3.52  80.7 -0.418    19.50 21.23 02a57802o0219o   1.933333
57802.357082 19.038793      NaN     40     16 o    0     1.19 142.43306 3.07604  3247.05  4070.40  3.64  3.51  79.7 -0.421    19.51 21.25 02a57802o0226o   2.500000
57804.456747 18.631975      NaN     35     31 o    0     1.06 142.43306 3.07604  4505.37  2362.83  4.07  3.92 -87.0 -0.616    18.98 20.89 01a57804o0351o   1.129032
57804.471537 18.796518      NaN     17     31 o    0     1.12 142.43306 3.07604  4525.26  2401.44  4.27  4.09 -84.8 -0.593    18.92 20.85 01a57804o0380o   0.548387
57804.485908 16.193037      NaN    211    333 o    0     1.25 142.43306 3.07604  4466.40  2326.32  4.42  4.28 -85.9 -0.538    16.47 18.37 01a57804o0408o   0.633634
57804.500846 16.600997      NaN    330    167 o    0     0.94 142.43306 3.07604  4450.26  2440.70  4.22  4.07 -83.0 -0.583    17.22 19.02 01a57804o0437o   1.976048
57806.451578 18.910912      NaN    -48     33 o    0     0.76 142.43306 3.07604  3286.86  3967.62  4.28  4.15 -76.4 -0.540    18.89 20.84 01a57806o0461o  -1.454545
57806.462636 18.889197      NaN     14     29 o    0     1.11 142.43306 3.07604  3308.25  4004.19  4.32  4.08 -78.8 -0.543    18.85 20.76 01a57806o0483o   0.482759
57806.493857 18.847027      NaN    -20     35 o    0     0.95 142.43306 3.07604  3232.97  4042.55  4.37  4.10 -79.7 -0.541    18.78 20.61 01a57806o0544o  -0.571429
57808.463421 18.836735      NaN     16     30 o    0     1.07 142.43306 3.07604  2256.30  3451.73  4.45  4.15 -83.6 -0.525    18.93 20.84 01a57808o0386o   0.533333
57808.476561 18.796518      NaN     11     33 o    0     0.98 142.43306 3.07604  2197.15  3373.66  4.56  4.23 -81.6 -0.526    18.89 20.82 01a57808o0412o   0.333333
57808.490987 18.203116      NaN     88     34 o    0     0.92 142.43306 3.07604  2180.77  3490.08  4.61  4.30 -80.6 -0.522    18.83 20.72 01a57808o0440o   2.588235
57810.437742 15.953997      NaN     26    494 o    0     1.08 142.43306 3.07604  2476.78  5116.66  4.01  3.87 -79.3 -0.573    15.85 17.63 01a57810o0426o   0.052632
57810.451415 16.347027      NaN    -34    350 o    0     1.61 142.43306 3.07604  2496.15  5154.94  4.07  3.89 -77.6 -0.583    16.09 17.93 01a57810o0453o  -0.097143
57810.468161 16.690846      NaN   -116    255 o    0     1.18 142.43306 3.07604  2437.08  5079.25  4.01  3.86 -75.5 -0.592    16.55 18.36 01a57810o0486o  -0.454902
57810.480861 15.396068      NaN    736    595 o    0     0.95 142.43306 3.07604  2419.92  5193.78  4.01  3.88 -74.4 -0.591    15.69 17.45 01a57810o0511o   1.236975
57816.416245 19.384550      NaN      1     21 o    0     1.19 142.43306 3.07604  5153.06  4787.88  3.55  3.43 -81.6 -0.472    19.16 21.22 01a57816o0387o   0.047619
57816.430643 19.569016      NaN    -24     18 o    0     1.67 142.43306 3.07604  5172.20  4826.97  3.26  3.14 -74.1 -0.484    19.25 21.24 01a57816o0416o  -1.333333
57816.446310 19.454622      NaN    -14     20 o    0     1.19 142.43306 3.07604  5114.88  4749.99  3.41  3.29 -73.2 -0.476    19.19 21.22 01a57816o0447o  -0.700000
57816.460986 19.351140      NaN    -10     22 o    0     0.88 142.43306 3.07604  5097.45  4865.69  3.40  3.28 -49.5 -0.472    19.20 21.22 01a57816o0476o  -0.454545
57818.407508 19.128787      NaN    -27     27 o    0     1.04 142.43306 3.07604  5129.69  4074.60  4.09  3.62 -40.6 -0.483    18.74 20.63 01a57818o0374o  -1.000000
57818.422422 18.990530      NaN      2     30 o    0     1.07 142.43306 3.07604  5150.13  4113.02  4.10  3.66 -39.6 -0.480    18.74 20.63 01a57818o0404o   0.066667
57818.437925 19.089302      NaN    -13     28 o    0     1.29 142.43306 3.07604  5091.25  4036.39  4.11  3.71 -42.9 -0.480    18.74 20.64 01a57818o0435o  -0.464286
57818.453100 18.748255      NaN     25     30 o    0     0.93 142.43306 3.07604  5070.75  4154.12  4.08  3.62 -43.7 -0.484    18.75 20.62 01a57818o0465o   0.833333
57820.385326 16.982110      NaN    -87    195 o    0     0.96 142.43306 3.07604  3142.96  4486.09  4.10  3.74 -68.8 -0.462    17.06 17.45 01a57820o0352o  -0.446154
57820.400462 17.801668      NaN     62     71 o    0     1.06 142.43306 3.07604  3162.05  4524.96  3.95  3.68 -65.7 -0.499    17.99 19.09 01a57820o0382o   0.873239
57820.414980 15.498043      NaN   -340    765 o    0     1.00 142.43306 3.07604  3103.21  4449.52  4.52  4.07 -69.0 -0.413    15.70 15.73 01a57820o0411o  -0.444444
57820.430140 16.912039      NaN   -118    208 o    0     0.95 142.43306 3.07604  3085.83  4564.79  4.35  4.11 -50.5 -0.442    16.90 17.36 01a57820o0441o  -0.567308
57826.492576 18.261819      NaN    -43     60 o    0     1.20 142.43306 3.07604  3590.83  3861.16  4.26  3.77 -72.7 -0.468    18.05 19.12 01a57826o0441o  -0.716667
57826.505587 17.789888      NaN     59     73 o    0     0.85 142.43306 3.07604  3016.51  4447.09  4.36  3.96 -81.0 -0.484    17.97 19.00 01a57826o0466o   0.808219
57826.510628 18.125925      NaN    -44     68 o    0     2.37 142.43306 3.07604  6935.31  6667.56  3.57  3.55  20.2 -0.448    17.68 18.19 02a57826o0543o  -0.647059
57826.515061 17.755295      NaN     71     72 o    0     1.04 142.43306 3.07604  3890.22  4727.92  4.14  3.77 -69.3 -0.470    17.92 18.90 01a57826o0485o   0.986111
57826.523904 18.000411      NaN     70     53 o    0     1.49 142.43306 3.07604  7516.75  6089.67  3.56  3.34  86.5 -0.449    17.64 18.06 02a57826o0568o   1.320755
57826.528338 17.922662      NaN    -66     82 o    0     1.45 142.43306 3.07604  2720.31  3574.22  4.54  4.07 -83.9 -0.473    17.81 18.74 01a57826o0511o  -0.804878
57826.532851 18.125925      NaN    -19     68 o    0     1.77 142.43306 3.07604  6646.59  5796.45  3.57  3.37  88.6 -0.443    17.56 17.95 02a57826o0586o  -0.279412
57826.546206 17.419558      NaN     61    110 o    0     1.01 142.43306 3.07604  7801.69  6964.77  3.64  3.45  85.3 -0.478    17.43 17.77 02a57826o0612o   0.554545
57827.514272 18.058851      NaN     37     60 o    0     1.51 142.43306 3.07604  6934.87  6665.33  3.51  3.27 -86.8 -0.458    17.91 18.56 02a57827o0534o   0.616667
57827.525639 18.574166      NaN      0     45 o    0     1.31 142.43306 3.07604  7516.11  6088.02  3.57  3.25 -89.1 -0.450    17.85 18.46 02a57827o0556o   0.000000
57827.534089 17.714459      NaN    136     54 o    0     2.68 142.43306 3.07604  6647.00  5793.30  3.54  3.27 -87.5 -0.447    17.79 18.36 02a57827o0573o   2.518519
57828.373324 18.684100      NaN     23     33 o    0     0.75 142.43306 3.07604  5039.34  4847.65  3.55  3.34 -58.8 -0.470    18.75 20.34 01a57828o0308o   0.696970
57828.387808 18.910912      NaN     12     29 o    0     1.18 142.43306 3.07604  5060.69  4886.94  3.65  3.37 -61.8 -0.469    18.69 20.26 01a57828o0337o   0.413793
57828.402036 18.417189      NaN    -43     52 o    0     0.92 142.43306 3.07604  5007.04  4811.30  3.67  3.35 -58.3 -0.470    18.20 19.75 01a57828o0366o  -0.826923
57828.409939 17.574501      NaN      0    113 o    0     1.02 142.43306 3.07604  6313.95  7965.30  3.50  3.34  83.4 -0.486    17.54 18.49 02a57828o0365o   0.000000
57828.416418 18.237955      NaN     31     51 o    0     1.49 142.43306 3.07604  4985.33  4926.49  3.55  3.27 -57.2 -0.477    17.93 19.12 01a57828o0395o   0.607843
57828.427484 16.802877      NaN   -252    230 o    0     0.60 142.43306 3.07604  6296.74  7925.51  3.50  3.33  85.9 -0.495    17.38 17.97 02a57828o0398o  -1.095652
57828.445108 17.546052      NaN    -63    116 o    0     1.09 142.43306 3.07604  6358.65  8002.15  3.47  3.32 -90.0 -0.508    17.65 18.50 02a57828o0431o  -0.543103
57828.462795 17.580925      NaN    127     70 o    0     0.94 142.43306 3.07604  6378.93  7884.07  3.54  3.36 -85.0 -0.493    17.66 18.32 02a57828o0464o   1.814286
57828.480440 18.005163      NaN     33     65 o    0     1.12 142.43306 3.07604  6341.02  7942.01  3.62  3.49 -83.4 -0.463    18.12 19.03 02a57828o0497o   0.507692
57830.373477 19.287255      NaN      4     22 o    0     0.82 142.43306 3.07604  3801.64  3183.06  3.56  3.20 -83.3 -0.466    19.27 21.25 01a57830o0299o   0.181818
57830.388412 19.063754      NaN     20     22 o    0     0.92 142.43306 3.07604  3820.39  3221.43  3.55  3.14 -80.3 -0.469    19.12 20.94 01a57830o0329o   0.909091
57830.408132 19.302877      NaN    -22     23 o    0     1.31 142.43306 3.07604  3766.13  3143.12  3.64  3.14 -77.5 -0.469    19.02 20.75 01a57830o0369o  -0.956522
57830.417152 18.711133      NaN     35     28 o    0     0.71 142.43306 3.07604  3744.51  3260.33  3.66  3.20 -77.2 -0.470    18.98 20.69 01a57830o0387o   1.250000
57832.361385 19.256669      NaN      3     23 o    0     1.04 142.43306 3.07604  2717.00  4820.18  3.61  3.34 -79.4 -0.477    19.16 21.01 01a57832o0285o   0.130435
57832.376826 19.401649      NaN    -33     21 o    0     1.47 142.43306 3.07604  2737.33  4859.39  3.86  3.42 -83.4 -0.466    19.12 21.01 01a57832o0316o  -1.571429
57832.391731 19.089302      NaN     12     24 o    0     1.23 142.43306 3.07604  2679.33  4782.71  4.07  3.54 -82.5 -0.454    19.06 20.98 01a57832o0346o   0.500000
57832.399488 19.226921      NaN     23     17 o    0     1.27 142.43306 3.07604  8938.69  7966.62  3.51  3.11 -75.6 -0.423    18.72 20.17 02a57832o0347o   1.352941
