         MJD         m       dm     uJy   duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    __tmp_SN
57800.532799 19.169763      NaN      -4     26 o    0   1.13 142.43975 3.06937  5483.08  7417.09  3.40  3.35 -19.9 -0.473    18.91 20.06 02a57800o0446o   -0.153846
57800.549261 18.511660      NaN      65     26 o    0   1.23 142.43975 3.06937  5445.58  7473.17  3.55  3.39   4.4 -0.465    18.83 19.98 02a57800o0476o    2.500000
57802.274728 18.115332      NaN      62     48 o    0   1.08 142.43975 3.06937  6980.55  6698.58  3.55  3.46 -83.3 -0.653    18.52 20.04 01a57802o0076o    1.291667
57802.284343 18.142010      NaN      54     49 o    0   0.80 142.43975 3.06937  7558.92  6114.70  3.52  3.41  82.3 -0.654    18.60 20.18 01a57802o0094o    1.102041
57802.290570 19.089302      NaN      18     22 o    0   0.93 142.43975 3.06937  3544.31  3785.60  3.65  3.52  86.8 -0.419    19.23 20.72 02a57802o0106o    0.818182
57802.294095 18.767304      NaN       5     36 o    0   1.43 142.43975 3.06937  6689.34  5827.47  3.63  3.55  81.6 -0.642    18.67 20.35 01a57802o0112o    0.138889
57802.300397 19.256669      NaN      15     19 o    0   0.90 142.43975 3.06937  2963.36  4365.09  3.65  3.50  79.9 -0.426    19.27 20.80 02a57802o0124o    0.789474
57802.304120 18.675237      NaN      -7     41 o    0   1.05 142.43975 3.06937  7858.29  6982.81  4.14  3.77  89.3 -0.615    18.68 20.53 01a57802o0130o   -0.170732
57802.310414 19.271854      NaN      23     16 o    0   1.58 142.43975 3.06937  3833.47  4660.12  3.64  3.49  83.7 -0.415    19.32 20.89 02a57802o0142o    1.437500
57802.313708 18.649074      NaN      24     34 o    0   1.54 142.43975 3.06937  6409.70  7276.40  3.87  3.72 -80.5 -0.606    18.74 20.60 01a57802o0147o    0.705882
57802.320880 19.051202      NaN      33     18 o    0   0.90 142.43975 3.06937  2675.85  3494.58  3.70  3.53  84.9 -0.418    19.37 20.99 02a57802o0160o    1.833333
57802.321030 18.489118      NaN      44     34 o    0   1.27 142.43975 3.06937  8138.31  5525.97  3.79  3.55  77.7 -0.645    18.82 20.70 01a57802o0160o    1.294118
57802.331166 19.696897      NaN     -19     16 o    0   1.03 142.43975 3.06937  4129.97  3214.31  3.60  3.48 -85.0 -0.421    19.45 21.10 02a57802o0177o   -1.187500
57802.335750 18.878500      NaN     -23     34 o    0   1.10 142.43975 3.06937  7274.48  6396.96  3.52  3.42 -89.9 -0.632    18.91 20.79 01a57802o0189o   -0.676471
57802.339049 19.549093      NaN       1     18 o    0   1.08 142.43975 3.06937  2385.06  4947.84  3.65  3.51  75.5 -0.434    19.44 21.11 02a57802o0190o    0.055556
57802.339274 18.806434      NaN       4     35 o    0   0.87 142.43975 3.06937  7272.10  6398.24  3.49  3.41 -84.6 -0.645    18.94 20.84 01a57802o0196o    0.114286
57802.353575 19.631075      NaN     -14     17 o    0   0.99 142.43975 3.06937  3257.83  4082.49  3.65  3.52  80.7 -0.418    19.50 21.23 02a57802o0219o   -0.823529
57802.357082 19.256669      NaN      21     17 o    0   0.89 142.43975 3.06937  3259.96  4083.38  3.64  3.51  79.7 -0.421    19.51 21.25 02a57802o0226o    1.235294
57804.456747 19.089302      NaN     -20     28 o    0   1.21 142.43975 3.06937  4518.48  2375.63  4.07  3.92 -87.1 -0.616    18.98 20.89 01a57804o0351o   -0.714286
57804.471537 18.362890      NaN      62     34 o    0   0.86 142.43975 3.06937  4538.37  2414.25  4.27  4.09 -84.8 -0.593    18.92 20.85 01a57804o0380o    1.823529
57804.485908 16.041682      NaN     317    358 o    0   0.95 142.43975 3.06937  4479.52  2339.13  4.42  4.28 -85.9 -0.540    16.47 18.37 01a57804o0408o    0.885475
57804.500846 16.790361      NaN     224    158 o    0   1.13 142.43975 3.06937  4463.37  2453.50  4.22  4.07 -83.0 -0.584    17.22 19.02 01a57804o0437o    1.417722
57806.451578 18.978793      NaN      15     26 o    0   1.30 142.43975 3.06937  3299.97  3980.39  4.28  4.15 -76.3 -0.539    18.89 20.84 01a57806o0461o    0.576923
57806.462636 18.967180      NaN       4     30 o    0   1.04 142.43975 3.06937  3321.37  4016.96  4.32  4.08 -78.7 -0.543    18.85 20.76 01a57806o0483o    0.133333
