          MJD  MJDbin           uJy         duJy         stdev        x2  Nclip  Ngood  Nexcluded     Mask         m       dm
 57232.299952 57232.5         -21.5        258.0           NaN       NaN      0      1          1 0x800000 16.678148      NaN
          NaN 57522.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
 57523.397198 57523.5    -14.277405    11.594894     32.790242  1.564448      0      5          5 0x800000 20.046530      NaN
          NaN 57524.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57525.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57526.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
 57527.397251 57527.5     -65.38913    17.674022     33.637776  0.761565      0      5          5 0x800000 19.588858      NaN
          NaN 57528.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57529.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57530.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
          NaN 57531.5           NaN          NaN           NaN       NaN      0      0          0 0x800000       NaN      NaN
