         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57613.393684 19.089302      NaN   -28    28 o    0     1.54 278.34909 44.08657  9060.54  8340.74  4.15 3.18  86.8 -0.488    18.89 20.57 02a57613o0317o  -1.000000
57613.402010 18.978793      NaN   -57    31 o    0     1.09 278.34909 44.08657  9033.96  8398.31  4.07 3.19  85.7 -0.486    18.90 20.60 02a57613o0333o  -1.838710
57617.337401 18.362890      NaN     2    54 o    0     1.33 278.34909 44.08657  8397.50  8099.24  4.41 3.25  89.7 -0.508    18.52 20.02 02a57617o0221o   0.037037
57617.349364 18.356290      NaN   -84    55 o    0     1.16 278.34909 44.08657  8370.73  8058.49  4.47 3.26  88.4 -0.500    18.52 20.01 02a57617o0244o  -1.527273
57617.371701 18.396507      NaN    -3    53 o    0     1.08 278.34909 44.08657  8426.27  8138.41  4.47 3.31  89.9 -0.493    18.48 19.95 02a57617o0287o  -0.056604
57617.382632 17.954005      NaN    65    58 o    0     1.01 278.34909 44.08657  8453.22  8022.07  4.37 3.26 -87.9 -0.503    18.46 19.91 02a57617o0308o   1.120690
57617.395575 18.356290      NaN   -27    55 o    0     1.37 278.34909 44.08657  8412.84  8077.70  4.49 3.32 -89.8 -0.491    18.45 19.88 02a57617o0333o  -0.490909
57620.317515 18.606822      NaN    14    39 o    0     1.09 278.34909 44.08657  8594.20  8570.23  4.86 4.20 -86.6 -0.451    18.62 20.47 02a57620o0160o   0.358974
57620.332268 18.729535      NaN   -50    39 o    0     1.17 278.34909 44.08657  8562.53  8530.02  4.93 4.12 -86.5 -0.473    18.61 20.44 02a57620o0188o  -1.282051
57620.343685 18.649074      NaN    -8    42 o    0     1.28 278.34909 44.08657  8618.34  8609.00  4.83 3.63 -89.3 -0.490    18.64 20.39 02a57620o0210o  -0.190476
57620.358229 18.526952      NaN   -38    47 o    0     1.03 278.34909 44.08657  8646.03  8491.62  4.96 3.86 -87.6 -0.489    18.56 20.34 02a57620o0238o  -0.808511
57620.369119 18.574166      NaN   -25    45 o    0     1.08 278.34909 44.08657  8603.53  8547.79  4.83 3.60 -87.2 -0.489    18.60 20.32 02a57620o0259o  -0.555556
57621.340958 17.958558      NaN    70    56 o    0     1.44 278.34909 44.08657  9216.22  7714.96  5.48 3.96 -89.5 -0.367    18.28 20.05 02a57621o0205o   1.250000
