         MJD         m       dm    uJy  duJy F  err    chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57605.394296 19.529530      NaN      8    16 c    0     0.99 278.35567 44.08185  1949.08  6599.19 4.27 3.88 -62.1 -0.395    19.60 21.82 02a57605o0310c  0.500000
57605.414442 19.287255      NaN     22    16 c    0     1.00 278.35567 44.08185  1909.26  6659.42 4.21 3.79 -66.8 -0.405    19.64 21.85 02a57605o0349c  1.375000
57609.375342 19.472870      NaN      8    17 c    0     0.87 278.35567 44.08185  8627.77  9774.81 4.57 3.85  87.4 -0.424    19.72 21.90 02a57609o0269c  0.470588
57609.376793 19.302877      NaN    -43    23 c    0     1.11 278.35567 44.08185 10135.04    61.19 5.55 3.89  33.4 -0.429    19.73 21.92 02a57609o0272c -1.869565
57609.383184 19.569016      NaN      0    18 c    0     1.02 278.35567 44.08185  8614.05  9734.83 4.58 3.84  88.9 -0.424    19.64 21.82 02a57609o0285c  0.000000
57609.401442 18.615142      NaN     40    30 c    0     0.87 278.35567 44.08185  8671.88  9815.69 4.49 3.80  87.1 -0.435    19.05 21.07 02a57609o0322c  1.333333
57609.403379 18.582238      NaN     17    39 c    0     0.99 278.35567 44.08185 10179.09   101.29 5.39 3.83  34.9 -0.436    19.04 21.04 02a57609o0326c  0.435897
57609.410702 19.089302      NaN    -28    28 c    0     0.96 278.35567 44.08185  8684.45  9697.05 4.54 3.78  88.4 -0.429    19.33 21.39 02a57609o0341c -1.000000
57609.417621 19.510313      NaN     -5    19 c    0     1.15 278.35567 44.08185  8643.46  9756.61 4.52 3.77  87.4 -0.430    19.49 21.58 02a57609o0355c -0.263158
57609.418103 16.162077      NaN    504   247 c    0     0.28 278.35567 44.08185 10152.12    41.29 5.32 3.83  32.0 -0.444    19.48 21.58 02a57609o0356c  2.040486
57625.339261 19.569016      NaN   -164    18 c    0     7.40 278.35567 44.08185  2421.24  9445.53 4.10 3.80 -44.7 -0.447    19.70 21.84 02a57625o0153c -9.111111
57625.341509 19.569016      NaN    -27    18 c    0     1.03 278.35567 44.08185  2392.90  9406.47 4.08 3.80 -46.3 -0.447    19.71 21.84 02a57625o0157c -1.500000
57625.357435 19.631075      NaN    -24    17 c    0     0.93 278.35567 44.08185  2448.67  9480.66 4.18 3.84 -41.7 -0.440    19.72 21.90 02a57625o0185c -1.411765
57625.369407 19.401649      NaN    -56    21 c    0     0.76 278.35567 44.08185  2477.96  9361.94 4.40 3.96 -46.4 -0.427    19.67 21.91 02a57625o0206c -2.666667
57625.392729 19.696897      NaN    -13    16 c    0     1.16 278.35567 44.08185  2435.96  9418.05 4.08 3.76 -42.0 -0.441    19.70 21.84 02a57625o0247c -0.812500
57660.276832 19.631075      NaN    -32    17 c    0     0.97 278.35567 44.08185  8562.16  9617.61 3.91 3.67 -87.3 -0.431    19.49 21.43 02a57660o0131c -1.882353
57660.280370 19.401649      NaN      9    18 c    0     0.97 278.35567 44.08185  8547.84  9577.18 3.89 3.68 -89.1 -0.438    19.49 21.42 02a57660o0138c  0.500000
57660.292046 19.631075      NaN    -10    17 c    0     1.21 278.35567 44.08185  8603.28  9657.37 3.87 3.59 -81.7 -0.413    19.48 21.38 02a57660o0161c -0.588235
57660.303591 19.510313      NaN     -6    19 c    0     0.78 278.35567 44.08185  8616.50  9540.26 3.97 3.69 -88.2 -0.415    19.46 21.37 02a57660o0184c -0.315789
57660.324290 19.256669      NaN     12    20 c    0     0.91 278.35567 44.08185  8576.37  9594.49 4.10 3.89  83.5 -0.415    19.34 21.27 02a57660o0225c  0.600000
57668.244528 19.318728      NaN     14    18 c    0     1.13 278.35567 44.08185  1156.09  7280.70 3.95 3.69  50.4 -0.424    19.26 20.94 02a57668o0080c  0.777778
57668.255049 19.454622      NaN      6    18 c    0     1.17 278.35567 44.08185  1126.73  7241.53 3.93 3.68  50.8 -0.419    19.26 20.93 02a57668o0101c  0.333333
57668.262575 19.014394      NaN     36    18 c    0     1.22 278.35567 44.08185  1181.70  7315.04 3.94 3.69  50.3 -0.415    19.26 20.94 02a57668o0116c  2.000000
57668.283829 19.510313      NaN    -33    19 c    0     1.12 278.35567 44.08185  1210.50  7193.49 3.84 3.64  52.7 -0.423    19.23 20.88 02a57668o0159c -1.736842
