,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
480,59342.432575,-21.838,1.212,-7,8,c,0,1.57,208.59412,-5.35705,7241.24,1354.41,2.45,2.29,-75.5,-0.401,19.68,21.55,02a59342o0425c
481,59342.437786,-21.0,0.55,-14,8,c,0,1.59,208.59412,-5.35705,7258.94,1237.03,2.47,2.3,-66.0,-0.4,19.66,21.56,02a59342o0436c
482,59344.423038,-21.294,0.754,-11,8,o,0,1.97,208.59412,-5.35705,3286.41,7342.45,2.27,1.98,-7.3,-0.393,19.65,20.95,01a59344o0425o
483,59344.425819,-20.988,0.567,-15,8,o,0,1.9,208.59412,-5.35705,3306.03,7381.15,2.11,1.91,-22.4,-0.406,19.63,20.85,01a59344o0431o
484,59344.430969,-21.406,0.939,-10,9,o,0,1.36,208.59412,-5.35705,3246.88,7303.52,2.09,1.95,-19.5,-0.403,19.61,20.82,01a59344o0442o
485,59344.444595,21.121,0.776,13,10,o,0,1.08,208.59412,-5.35705,3228.53,7417.61,1.87,1.77,-52.1,-0.421,19.6,20.67,01a59344o0471o
486,59346.419966,-25.283,33.0,0,9,c,0,1.13,208.59412,-5.35705,4650.72,7517.56,2.6,2.32,43.7,-0.398,19.67,21.51,02a59346o0412c
487,59346.426419,-21.598,1.0,-8,8,c,0,1.53,208.59412,-5.35705,4631.85,7478.59,2.53,2.32,45.4,-0.401,19.68,21.51,02a59346o0426c
488,59346.429625,-20.639,0.415,-20,8,c,0,2.36,208.59412,-5.35705,4689.99,7555.6,2.57,2.3,45.6,-0.398,19.69,21.51,02a59346o0433c
489,59346.444333,-20.661,0.433,-20,9,c,0,1.52,208.59412,-5.35705,4711.82,7442.07,2.7,2.5,47.9,-0.386,19.6,21.48,02a59346o0464c
490,59348.371322,21.589,0.957,8,8,o,0,1.46,208.59412,-5.35705,3279.04,7353.77,1.89,1.75,-77.6,-0.437,19.81,20.92,01a59348o0291o
491,59348.374548,-23.84,8.143,-1,9,o,0,1.1,208.59412,-5.35705,3299.46,7392.32,1.94,1.79,-76.5,-0.438,19.81,20.96,01a59348o0298o
492,59348.405315,-23.499,6.85,-1,10,o,0,1.18,208.59412,-5.35705,3246.06,7308.04,1.89,1.77,-85.3,-0.438,19.75,20.85,01a59348o0364o
493,59348.410424,22.007,1.575,6,9,o,0,1.53,208.59412,-5.35705,3229.02,7425.45,1.87,1.76,-79.6,-0.437,19.75,20.83,01a59348o0375o
494,59350.459667,-21.457,1.071,-10,10,c,0,1.58,208.59412,-5.35705,4653.92,7515.86,2.74,2.63,57.6,-0.382,19.52,21.32,02a59350o0340c
495,59350.463351,-20.818,0.741,-17,13,c,0,0.76,208.59412,-5.35705,4635.66,7477.68,3.0,2.85,52.9,-0.375,19.39,21.31,02a59350o0348c
496,59350.468863,22.326,2.727,4,12,c,0,1.23,208.59412,-5.35705,4693.08,7555.14,2.92,2.81,63.2,-0.371,19.37,21.28,02a59350o0360c
497,59350.482656,-20.787,0.753,-18,13,c,0,0.97,208.59412,-5.35705,4712.6,7439.65,2.87,2.76,56.2,-0.373,19.37,21.21,02a59350o0390c
498,59352.363787,-22.411,2.649,-4,10,o,0,1.41,208.59412,-5.35705,7819.34,2958.43,2.29,2.08,-67.6,-0.416,19.59,20.72,01a59352o0248o
499,59352.369315,-22.851,4.105,-3,11,o,0,1.58,208.59412,-5.35705,7840.21,2995.88,2.69,2.39,-68.8,-0.387,19.45,20.7,01a59352o0260o
500,59352.379478,-22.942,4.5,-2,11,o,0,1.07,208.59412,-5.35705,7783.08,2916.13,2.25,2.04,-69.9,-0.405,19.58,20.69,01a59352o0282o
501,59352.404244,26.376,113.0,0,12,o,0,0.94,208.59412,-5.35705,7770.39,3027.08,2.21,2.08,-74.9,-0.409,19.6,20.75,01a59352o0335o
502,59354.365961,21.979,2.404,6,14,o,0,1.38,208.59412,-5.35705,755.18,7706.36,2.03,1.92,-50.4,-0.459,19.23,20.09,02a59354o0270o
