,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
10,95596,SN 2021admm,00:53:10.839,-25:09:04.87,SN Ia-CSM,0.108515,WISEA J005310.87-250903.8,0.108515,ALeRCE,ZTF,Global SN Project,ALeRCE,ZTF21aclrkgs,P48 - ZTF-Cam,FTN - FLOYDS-N,1,1,,19.8894,g-ZTF,2021-11-05 07:05:19.000,ALeRCE,,2021TNSTR3767....1M,2021TNSCR4071....1N,
11,72006,SN 2020abfe,20:00:03.310,+10:09:04.18,SN Ia-CSM,0.093,,,"ZTF, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF20acqikeh,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam",Keck1 - LRIS,1,1,,19.89,r-ZTF,2020-11-14 02:08:09.600,ZTF_Bot1,,2020TNSTR3612....1F,2021TNSCR1234....1D,
12,64753,SN 2020qxz,18:04:00.250,+74:00:50.29,SN Ia-CSM,0.0964,,,"ZTF, GaiaAlerts, Pan-STARRS","ZTF, GaiaAlerts, Pan-STARRS",ZTF,GaiaAlerts; Pan-STARRS; ZTF,ZTF20abqkbfx,"Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",Keck1 - LRIS,1,1,,19.14,r-ZTF,2020-08-08 05:53:52.800,ZTF_AMPEL_COMPLETE,,2020TNSTR2427....1N,2022TNSCR.277....1C,
13,46137,SN 2019rvb,16:38:10.164,+68:27:49.13,SN Ia-CSM,0.1835,,,ZTF,ZTF,ZTF,ZTF,ZTF19acbjddp,P48 - ZTF-Cam,,1,1,,19.54,g-ZTF,2019-10-02 04:29:36.000,ZTF_AMPEL_COMPLETE,,2019TNSTR1990....1N,2020TNSCR2653....1Y,
14,34109,SN 2019agi,16:22:43.990,+24:01:09.66,SN Ia-CSM,0.06,,,"ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS",SCAT,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF19aaeoqst,"ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",UH88 - SNIFS,1,1,,18.69,g-ZTF,2019-01-25 12:20:57.000,ZTF_AMPEL_NEW,,2019TNSTR.157....1N,2019TNSCR.343....1P,
15,29784,SN 2018gkx,13:52:19.215,+55:38:28.29,SN Ia-CSM,0.137,,,"ZTF, GaiaAlerts, ATLAS, Pan-STARRS","ZTF, GaiaAlerts, ATLAS, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF18abuatfp,"ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",,1,1,,19.54,r-ZTF,2018-09-08 03:10:04.000,ZTF_Bot1,,2018TNSTR1402....1F,2018TNSCR1870....1F,
16,161753,SN 2024vgd,17:07:56.796,+18:12:54.72,SN IIn,0.067,,,"ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS",ZTF,ATLAS; GOTO; Pan-STARRS; ZTF,ZTF24abhexdw,"ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1",NOT - ALFOSC,1,1,,20.4193,r-ZTF,2024-08-26 05:10:23.001,Fritz,,2024TNSTR3469....1S,2024TNSCR3710....1S,
17,161014,SN 2024ueo,03:20:22.260,-05:36:22.72,SN IIn,0.036,,,"ZTF, ATLAS, GOTO, YSE, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, GOTO, Pan-STARRS, GaiaAlerts","UCSC, ePESSTO+",ATLAS; GaiaAlerts; GOTO; Pan-STARRS; YSE; ZTF,ZTF24abeivan,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT, Lick-3m - KAST",1,1,,20.3652,r-ZTF,2024-08-31 10:05:51.936,ZTF_CLU_PUBLIC,,2024TNSTR3231....1D,"2024TNSCR3410....1P, 2024TNSCR3408....1R",
18,160772,SN 2024tvi,23:15:10.779,-27:54:54.44,SN IIn,0.03,,,"ZTF, GOTO, Pan-STARRS, ATLAS","ZTF, GOTO, Pan-STARRS, ATLAS",adH0cc,ATLAS; GOTO; Pan-STARRS; ZTF,ZTF24abcugcf,"ATLAS-CHL - ATLAS-04, GOTO-S - GOTO-3, GOTO-S - GOTO-4, P48 - ZTF-Cam, PS1 - GPC1",VLT-UT1 - FORS2,1,1,,19.3221,g-ZTF,2024-08-25 07:31:30.996,Fritz,,2024TNSTR3166....1S,2024TNSCR3214....1C,
19,155610,SN 2024myl,17:59:17.342,+69:51:40.01,SN IIn,0.0655,,,"ZTF, GOTO, ATLAS, Fink","ZTF, GOTO, ATLAS",ZTF,ATLAS; Fink; GOTO; ZTF,ZTF24aatjphv,"ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, P48 - ZTF-Cam",NOT - ALFOSC,1,1,,19.9502,g-ZTF,2024-06-25 05:39:30.000,Fritz,,2024TNSTR2141....1S,2024TNSCR2538....1S,
20,151043,SN 2024ien,17:08:54.189,-00:24:14.33,SN IIn,0.0625,,,"ZTF, ATLAS, Pan-STARRS, GOTO","ZTF, ATLAS, Pan-STARRS, GOTO",SGLF,ATLAS; GOTO; Pan-STARRS; ZTF,ZTF24aamiomv,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,20.6765,g-ZTF,2024-05-02 10:31:26.002,Fritz,,2024TNSTR1407....1S,2024TNSCR2259....1P,
21,150624,SN 2024hpj,17:48:47.759,+37:13:02.01,SN IIn,0.016,,,"ZTF, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS",SGLF,ATLAS; GOTO; Pan-STARRS; ZTF,ZTF24aaleeji,"ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2",LT - SPRAT,1,1,,20.016,g-ZTF,2024-04-30 08:50:07.995,Fritz,,2024TNSTR1305....1R,2024TNSCR1475....1P,
22,149499,SN 2024gbc,14:34:31.495,+58:18:32.96,SN IIn,0.0517,SDSS J143431.26+581830.6,0.05165188,ALeRCE,ZTF,ZTF,ALeRCE,ZTF24aaisnlp,P48 - ZTF-Cam,LT - SPRAT,1,1,,18.1809,g-ZTF,2024-04-08 07:47:34.002,ALeRCE,,2024TNSTR.988....1M,2024TNSCR1181....1W,
23,149117,SN 2024fof,16:31:57.446,+71:01:18.46,SN IIn,0.114,,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS,ZTF24aaifila,"ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam",P200 - DBSP,1,1,,19.8018,g-ZTF,2024-04-03 10:29:07.996,ALeRCE,,2024TNSTR.906....1M,2024TNSCR1313....1R,
24,148692,SN 2024ezb,17:01:51.137,+13:59:06.16,SN IIn,0.055,,,"ZTF, GOTO, Fink, ATLAS, Pan-STARRS","ZTF, GOTO, ATLAS, Pan-STARRS",ZTF,ATLAS; Fink; GOTO; Pan-STARRS; ZTF,ZTF24aahtdhb,"ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,20.4639,g-ZTF,2024-03-20 11:13:41.998,Fritz,,2024TNSTR.825....1S,2024TNSCR1285....1W,
25,147910,SN 2024dwo,13:53:23.484,+14:24:41.21,SN IIn,0.036,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF24aagtesv,"ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,19.9346,r-ZTF,2024-02-29 10:04:08.256,ZTF_CLU_PUBLIC,,2024TNSTR.607....1D,2024TNSCR.898....1D,
26,146354,SN 2024cui,16:02:11.899,+53:15:57.35,SN IIn,0.1,SDSS J160211.59+531555.9,,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","TCD, ZTF",ALeRCE; ATLAS; Pan-STARRS,ZTF24aafqxmg,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",NOT - ALFOSC,1,1,,20.2817,r-ZTF,2024-02-15 11:12:43.004,ALeRCE,,2024TNSTR.454....1F,"2024TNSCR.626....1T, 2024TNSCR.830....1P",
27,146271,SN 2024crf,19:45:47.570,+48:22:31.12,SN IIn,0.1,,,"ZTF, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ZTF24aaerzgz,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.91,g-ZTF,2024-02-12 12:44:38.400,ZTF_Bot1,,2024TNSTR.446....1F,2024TNSCR.762....1S,
28,144742,SN 2023acmb,15:33:57.100,+04:19:25.32,SN IIn,0.038,,,"ZTF, Pan-STARRS","ZTF, Pan-STARRS",SGLF,Pan-STARRS; ZTF,ZTF24aaadler,"P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,19.63,r-ZTF,2023-12-12 13:29:16.800,ZTF_Bot1,,2024TNSTR.197....1F,2024TNSCR2218....1P,
29,141624,SN 2023zmy,06:57:00.412,+30:58:54.73,SN IIn,0.056,WISEA J065700.22+305859.0,,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ALeRCE; ATLAS; Pan-STARRS,ZTF23absbzli,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2",P200 - DBSP,1,1,,19.1918,r-ZTF,2023-12-09 06:35:31.004,ALeRCE,,2023TNSTR3193....1M,2024TNSCR3192....1R,
30,141544,SN 2023zjw,07:45:58.817,-03:16:44.65,SN IIn,0.047,,,"ZTF, ATLAS","ZTF, ATLAS",SGLF,ATLAS; ZTF,ZTF23absdibx,"ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam",NOT - ALFOSC,1,1,,19.38,g-ZTF,2023-12-09 07:07:40.800,ZTF_Bot1,,2023TNSTR3189....1F,2024TNSCR.520....1P,
31,140270,SN 2023xob,01:44:47.047,+16:01:04.75,SN IIn,0.105,,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; ZTF,ZTF23abqimmw,"ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,20.03,r-ZTF,2023-11-12 05:09:36.000,ZTF_Bot1,,2023TNSTR2928....1F,2024TNSCR..97....1I,
32,140134,SN 2023xix,11:14:56.651,+33:49:28.94,SN IIn,0.036904,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ZTF23abpznvm,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,19.52,r-ZTF,2023-11-10 11:35:31.200,ZTF_Bot1,,2023TNSTR2905....1F,2023TNSCR3202....1S,
33,139571,SN 2023wob,04:42:33.100,-15:16:40.20,SN IIn,0.036,,,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ALeRCE; ATLAS; Pan-STARRS,ZTF23abomtge,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,19.7415,r-ZTF,2023-11-03 10:00:19.996,ALeRCE,,2023TNSTR2830....1M,2023TNSCR3299....1P,
34,138809,SN 2023vlp,01:24:12.856,+79:56:44.88,SN IIn,0.06,,,Fink,ZTF,ZTF,Fink,ZTF23abjvuwc,P48 - ZTF-Cam,LT - SPRAT,1,1,,19.4066,g-ZTF,2023-10-14 07:23:09.004,Fink,,2023TNSTR2666....1P,2023TNSCR2857....1W,
35,138772,SN 2023vke,08:54:20.053,-13:04:37.11,SN IIn,0.056,LEDA  153283,0.05628,"ALeRCE, ATLAS","ZTF, ATLAS",ePESSTO+,ALeRCE; ATLAS,ZTF23ablutgq,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,19.1522,r-ZTF,2023-10-19 11:14:06.000,ALeRCE,,2023TNSTR2653....1M,2023TNSCR2869....1M,
36,138553,SN 2023vbx,02:22:46.032,+26:27:35.58,SN IIn,0.033,SDSS J022245.94+262734.0,,"ALeRCE, ATLAS, GOTO, Pan-STARRS","ZTF, ATLAS, GOTO, Pan-STARRS",,ALeRCE; ATLAS; GOTO; Pan-STARRS,ZTF23abjikaf,"ATLAS-HKO - ATLAS-02, GOTO-N - GOTO-1, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS1 - GPC1",NOT - ALFOSC,1,1,,21.024,r-ZTF,2023-10-10 08:04:44.996,ALeRCE,,2023TNSTR2596....1F,2023TNSCR2722....1B,
37,138536,SN 2023vbg,07:43:43.782,+34:22:30.06,SN IIn,0.0173,SDSS J074343.73+342230.2,,"ALeRCE, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ZTF,ALeRCE; ATLAS; Pan-STARRS,ZTF23abkhwgb,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2",Lick-3m - KAST,1,1,,20.4327,r-ZTF,2023-10-15 11:55:40.999,ALeRCE,,2023TNSTR2596....1F,2024TNSCR..82....1W,
38,134084,SN 2023pfj,02:17:12.150,+01:35:56.40,SN IIn,0.111,,,"ZTF, ATLAS, Fink, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",,ATLAS; Fink; GaiaAlerts; Pan-STARRS; ZTF,ZTF23aaxldkr,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",NOT - ALFOSC,1,1,,19.91,r-ZTF,2023-08-13 10:07:40.800,ZTF_Bot1,,2023TNSTR1940....1F,2023TNSCR2094....1C,
39,133582,SN 2023omf,22:36:57.544,+18:17:35.15,SN IIn,0.083,,,"ZTF, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",,ATLAS; Pan-STARRS; YSE; ZTF,ZTF23aavtugd,"ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",Lick-3m - KAST,1,1,,20.15,r-ZTF,2023-07-31 08:44:09.600,ZTF_Bot1,,2023TNSTR1858....1F,2024TNSCR.844....1A,
40,133545,SN 2023okv,02:06:06.300,-13:24:05.58,SN IIn,0.09,,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts, DESIRT","ZTF, ATLAS, Pan-STARRS, GaiaAlerts, DESIRT",ZTF,ATLAS; DESIRT; GaiaAlerts; Pan-STARRS; ZTF,ZTF23aavvckk,"ATLAS-STH - ATLAS-03, CTIO-4m - DECAM, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,18.73,g-ZTF,2023-08-03 10:35:02.400,ZTF_Bot1,,2023TNSTR1848....1F,2023TNSCR2099....1S,
41,133417,SN 2023ohb,23:28:37.787,-15:53:48.06,SN IIn,0.0834,,,ZTF,ZTF,ZTF,ZTF,ZTF23aavmthe,P48 - ZTF-Cam,Lick-3m - KAST,1,1,,19.74,r-ZTF,2023-07-25 10:33:36.000,ZTF_Bot1,,2023TNSTR1818....1F,2023TNSCR2621....1W,
42,132921,SN 2023nof,22:39:44.180,-15:50:04.38,SN IIn,0.06918,WISEA J223944.38-155001.5,,"ALeRCE, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts","DEbass, None",ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS,ZTF23aatdcey,"ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",ANU-2.3m - WiFeS,1,1,,18.9788,g-ZTF,2023-07-20 08:33:23.000,ALeRCE,,2023TNSTR1714....1M,"2023TNSCR1786....1L, 2023TNSCR2506....1A",
43,132274,SN 2023mpu,23:51:59.500,+33:48:51.80,SN IIn,0.04206,SDSS J235159.77+334849.0,,"ALeRCE, ATLAS, YSE, Pan-STARRS, Fink, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",UCSC,ALeRCE; ATLAS; Fink; GaiaAlerts; Pan-STARRS; YSE,ZTF23aaquolj,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",Keck2 - ESI,1,1,,19.8675,g-ZTF,2023-07-09 09:48:56.002,ALeRCE,,2023TNSTR1612....1F,2023TNSCR1811....1T,
44,131999,SN 2023mft,20:28:13.830,+51:12:55.02,SN IIn,0.1146,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF23aaoyxjb,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",Lick-3m - KAST,1,1,,20.31,r-ZTF,2023-06-17 09:11:31.200,ZTF_Bot1,,2023TNSTR1546....1F,2023TNSCR2047....1W,
45,131968,SN 2023meo,21:40:59.116,+24:00:26.29,SN IIn,0.095,,,"Fink, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",GOTO,ATLAS; Fink; Pan-STARRS,ZTF23aapsuva,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",INT-2.5m - IDS,1,1,,21.0434,g-ZTF,2023-06-24 09:44:16.999,Fink,,2023TNSTR1535....1P,2023TNSCR2000....1G,
46,131518,SN 2023lnl,20:49:05.552,-19:47:33.02,SN IIn,0.129,,,ZTF,ZTF,FLEET,ZTF,ZTF23aaovtbv,P48 - ZTF-Cam,Magellan-Clay - LDSS-3,1,1,,20.47,r-ZTF,2023-06-14 10:39:21.600,ZTF_Bot1,,2023TNSTR1478....1F,2023TNSCR1973....1G,
47,131249,SN 2023ldh,15:09:09.597,+52:31:59.80,SN IIn,0.011321,,,"ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",Padova-Asiago,ATLAS; Pan-STARRS; ZTF,ZTF23aamanim,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",Ekar - AFOSC,1,1,,20.7423,g-ZTF,2023-05-28 07:43:14.016,ZTF_CLU_PUBLIC,,2023TNSTR1431....1D,2023TNSCR2582....1P,
48,130923,SN 2023kqw,14:36:43.327,+12:05:24.30,SN IIn,0.05466,SDSS J143643.35+120524.0,,"ALeRCE, ATLAS, Fink, YSE","ZTF, ATLAS, Pan-STARRS",UCSC,ALeRCE; ATLAS; Fink; Pan-STARRS; YSE,ZTF23aansdlc,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",Keck2 - ESI,1,1,,20.3525,g-ZTF,2023-06-14 06:39:07.004,ALeRCE,,2023TNSTR1385....1M,2023TNSCR1802....1T,
49,130373,SN 2023jwb,01:05:08.320,+22:05:03.08,SN IIn,0.05,,,"ZTF, ATLAS, Pan-STARRS, GaiaAlerts","ZTF, ATLAS, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ZTF23aamshoi,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,17.22,r-ZTF,2023-06-02 11:05:16.800,ZTF_Bot1,,2023TNSTR1309....1F,2023TNSCR1758....1S,
50,130200,SN 2023jqa,14:41:58.566,+19:05:35.50,SN IIn,0.1268,SDSS J144158.51+190536.9,,"ALeRCE, ATLAS, Fink","ZTF, ATLAS",ZTF,ALeRCE; ATLAS; Fink,ZTF23aamdnfp,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",Lick-3m - KAST,1,1,,20.77,g-ZTF,2023-05-22 07:05:28.003,ALeRCE,,2023TNSTR1252....1M,2023TNSCR1929....1W,
51,129861,SN 2023jdh,20:17:22.860,-20:34:31.48,SN IIn,0.054,,,"ZTF, Pan-STARRS, ATLAS, Fink, GaiaAlerts","ZTF, Pan-STARRS, ATLAS, GaiaAlerts",ZTF,ATLAS; Fink; GaiaAlerts; Pan-STARRS; ZTF,ZTF23aalgqsq,"ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P200 - DBSP,1,1,,19.88,r-ZTF,2023-05-20 09:36:00.000,ZTF_Bot1,,2023TNSTR1189....1F,2023TNSCR1531....1S,
