 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 665 390 14 2 ZTF_g 2155148765415 4194304 2.6178 115.282 9.3013 26.2426 5.824e-06 0.0327666 -0.0283209 1.32981e-05 1122 30. 0.076544 0.077838 19.7775 26.2426 1 2459909.6487616 390120154 25.507596432556 49.6710474212956 0.571243169529586 1.00136987244021 148.6931636193 78.9793177314652 1.89536482374152 1.08101338347975 1.86657615015854 18.3020002365112 0.0710000023245811 5.92600011825562 0.479000002145767 2458263.960694 2458369.776111 0
 666 390 14 2 ZTF_r 2157107015415 33554480 2.2742 13.558 22.1399 23.277 0.00267595 0.102866 0.0124497 0.00712681 66 30. 0.098876 0.105203 15.9946 23.277 1 2459911.6070139 390120254 202.808171066209 115.194998879325 1.95842355869157 0.936199485427125 -90.452332318586 198.077435380482 -0.459726943687455 1.08312796725622 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 667 390 14 2 ZTF_r 2168106495415 0 2.1524 242.013 15.4438 26.2339 3.8028e-06 0.0285636 0.0979335 7.40902e-06 1259 30. 0.071931 0.070798 19.4419 26.2339 1 2459922.6064931 390120254 -48.868911253879 70.848087752924 -0.767289635537335 0.928454082664653 -119.61447561886 130.292066559059 -0.924231913533866 1.05158352060102 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 668 390 14 2 ZTF_r 2178082545415 0 1.7552 241.075 11.4241 26.2018 3.1275e-06 0.0259985 0.104896 6.11692e-06 1264 30. 0.071533 0.073004 19.8886 26.2018 2 2459932.5825463 390120254 10.3729417276754 45.3465071695787 0.254456118574826 1.0543836227441 -48.7518325877591 87.6064568794893 -0.560234721656238 1.04755344152689 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 669 390 14 2 ZTF_r 2178086875415 0 1.561 239.594 11.1789 26.2149 2.5934e-06 0.0237834 0.10412 5.03871e-06 1271 30. 0.065561 0.075123 20.0081 26.2149 2 2459932.586875 390120254 92.7309600009823 38.1968412171175 2.70054928536278 1.13266527120997 19.3689044009316 78.4343783677087 0.24860724968132 1.03424510654097 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 670 390 14 2 ZTF_r 2178091215415 0 1.768 238.457 11.4595 26.2121 2.3122e-06 0.022391 0.0999313 4.50253e-06 1268 30. 0.066684 0.069196 19.843 26.2121 2 2459932.5912153 390120254 42.3248949074379 44.0694714705479 1.06834826122891 1.06793765870837 8.21121872809868 86.5176386861077 0.0955472419751964 1.03679193821382 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 671 390 14 2 ZTF_r 2178095545415 0 1.7885 236.479 10.5734 26.2005 2.6266e-06 0.0239535 0.104054 5.13963e-06 1272 30. 0.070673 0.07208 19.908 26.2005 2 2459932.595544 390120254 -29.7940053909873 41.9636267419485 -0.789788267133274 1.0132140131784 -0.204578311313793 82.977084070085 -0.00248208478664939 1.03627005354753 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 672 390 14 2 ZTF_r 2178099885415 0 1.7078 235.506 12.5162 26.2006 2.674e-06 0.0241408 0.100244 5.20728e-06 1271 30. 0.069338 0.070125 19.7792 26.2006 2 2459932.5998843 390120254 32.4343751700499 48.5885249317773 0.742551572637803 1.13049926129873 -67.8281619616893 97.7240610964374 -0.698753078503383 1.03600956729056 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 673 390 14 2 ZTF_r 2179086095415 0 1.732 220.064 12.6659 26.1131 3.4477e-06 0.0274261 0.10106 6.69966e-06 1268 30. 0.07604 0.073375 19.7155 26.1131 2 2459933.5860995 390120254 28.6869326014664 51.4569158543596 0.620147734622296 0.998419538203287 -115.522532622028 100.144964730515 -1.16132232747572 1.05001718684646 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 674 390 14 2 ZTF_r 2179090465415 0 2.0671 210.814 12.6769 26.0777 4.0074e-06 0.0295587 0.098677 7.83334e-06 1267 30. 0.073301 0.070434 19.4478 26.0777 2 2459933.590463 390120254 10.3943374839912 60.5337552203572 0.191009073597059 1.0024253704128 -26.5893198894091 110.758678973603 -0.241682193546728 1.04496088998074 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 675 390 14 2 ZTF_r 2179094815415 33554432 1.7325 129.956 19.068 25.5603 2.43906e-05 0.0681546 0.082249 4.87998e-05 1111 30. 0.071946 0.071929 18.6294 25.5603 2 2459933.5948148 390120254 -201.350289850375 77.130179818453 -2.90390708520724 0.969665664507324 -338.695878397528 151.939968319121 -2.24415615191661 1.04228066786231 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 676 390 14 2 ZTF_r 2179099175415 0 1.6897 161.201 16.3657 25.7944 5.3797e-06 0.0340194 0.0993587 1.05112e-05 1254 30. 0.072009 0.068287 19.0509 25.7944 2 2459933.5991782 390120254 71.2648174602165 66.269706905401 1.19623065705568 0.943470639937843 -106.074107811527 132.832380253551 -0.803934423419677 1.03798485120129 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 677 390 14 2 ZTF_r 2179103545415 0 1.9328 198.358 13.8795 26.0072 4.0282e-06 0.0295176 0.103797 7.87845e-06 1260 30. 0.071145 0.070173 19.3492 26.0072 2 2459933.6035417 390120254 -8.83562814615571 56.8564622004341 -0.172867120603296 1.11229353906092 -64.7324111796039 106.210594601124 -0.613577091230993 1.04618559825609 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 678 390 14 2 ZTF_r 2180083595415 39845888 2.4856 66.6304 11.7506 24.8446 3.10334e-05 0.0618239 0.0997171 6.63539e-05 735 30. 0.096492 0.102945 18.2122 24.8446 2 2459934.5835995 390120254 -52.0783661824032 58.3635724711579 -0.992590889214796 0.873412536943453 -37.7303621363689 97.6176045731953 -0.389115041925546 1.06671987314047 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 56
 679 390 14 2 ZTF_r 2180092305415 0 2.6088 236.774 11.142 26.2053 3.7622e-06 0.0286336 0.102978 7.34966e-06 1269 30. 0.074469 0.078732 19.5893 26.2053 2 2459934.5923032 390120254 127.506043560604 59.4535584913213 2.38565543287223 1.07240853545317 157.545756679701 96.4597651748379 1.64427972769618 1.0631351577841 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 0
 680 390 14 2 ZTF_r 2180096645415 37748736 2.9944 150.397 11.3105 25.7107 1.3733e-05 0.0506703 0.103394 2.72034e-05 1078 30. 0.097644 0.087562 18.9271 25.7107 2 2459934.5966435 390120254 5.76015103659686 61.3483196578142 0.1044446022797 0.874520559651765 81.2112398824908 90.231641824339 0.906092370731164 1.08633646039882 1.81732190574443 17.4790004730225 0.0780000016093254 5.78499984741211 0.418999999761581 2458257.960961 2458443.612292 56
