,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
25,132102,SN 2023mjq,14:09:38.799,+09:33:38.89,SN IIn,0.038337,,,"ATLAS, YSE, ZTF, Fink","ATLAS, Pan-STARRS, ZTF",YSE,ATLAS; Fink; Pan-STARRS; YSE; ZTF,ATLAS23nlp,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",Gemini-N - GMOS,1,1,,18.142,orange-ATLAS,2023-07-05 19:20:20.256,ATLAS_Bot1,,2023TNSTR1575....1T,2023TNSCR1662....1A,
26,132025,SN 2023mgr,22:00:26.429,-33:31:27.02,SN IIn,0.01,,,"ATLAS, MASTER","ATLAS, MASTER",SCAT,ATLAS; MASTER,ATLAS23ndq,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, Other - Other",UH88 - SNIFS,1,1,,16.233,orange-ATLAS,2023-07-02 06:02:21.696,ATLAS_Bot1,,2023TNSTR1550....1T,2023TNSCR1570....1H,
27,130752,SN 2023kki,16:53:18.123,+37:41:23.64,SN IIn,0.125,,,"ATLAS, ZTF","ATLAS, ZTF",ZTF,ATLAS; ZTF,ATLAS23mbw,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",LT - SPRAT,1,1,,19.423,cyan-ATLAS,2023-06-10 10:05:19.968,ATLAS_Bot1,,2023TNSTR1364....1T,2023TNSCR1779....1S,
28,125713,SN 2023dej,11:42:10.690,+66:56:56.36,SN IIn,0.108,,,"ATLAS, ZTF, GaiaAlerts","ATLAS, ZTF, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; ZTF,ATLAS23dsw,"ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.483,orange-ATLAS,2023-03-16 11:32:33.216,ATLAS_Bot1,,2023TNSTR.545....1T,2023TNSCR.934....1S,
29,125566,SN 2023cyu,19:24:23.183,+47:03:15.74,SN IIn,0.053,,,"ATLAS, ALeRCE","ATLAS, ZTF",ZTF,ALeRCE; ATLAS,ATLAS23dnx,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",LT - SPRAT,1,1,,18.144,orange-ATLAS,2023-03-12 15:07:57.792,ATLAS_Bot1,,2023TNSTR.515....1T,2023TNSCR1311....1W,
30,124370,SN 2023bgj,06:25:48.060,-37:46:27.44,SN IIn,0.055,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",ePESSTO+,ATLAS; GaiaAlerts,ATLAS23brd,"ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric",ESO-NTT - EFOSC2-NTT,1,1,,18.675,orange-ATLAS,2023-02-03 02:47:15.360,ATLAS_Bot1,,2023TNSTR.274....1T,2023TNSCR.321....1P,
31,123384,SN 2023wi,11:28:55.494,+05:27:32.64,SN IIn,0.094,,,"ATLAS, ZTF, Pan-STARRS","ATLAS, ZTF, Pan-STARRS",ZTF,ATLAS; Pan-STARRS; ZTF,ATLAS23awy,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1",LT - SPRAT,1,1,,18.966,orange-ATLAS,2023-01-19 06:51:33.120,ATLAS_Bot1,,2023TNSTR.131....1T,2023TNSCR1077....1W,
32,123028,SN 2023jo,08:07:24.794,+39:11:37.58,SN IIn,0.013,,,"ATLAS, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF",SCAT,ATLAS; Pan-STARRS; ZTF,ATLAS23akh,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",UH88 - SNIFS,1,1,,17.515,orange-ATLAS,2023-01-13 11:18:35.136,ATLAS_Bot1,,2023TNSTR..76....1T,2023TNSCR.128....1P,
33,122635,SN 2022aecy,05:41:29.340,+16:45:43.63,SN IIn,0.08,,,"ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ATLAS22bomd,"ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,18.765,orange-ATLAS,2022-12-27 21:34:22.368,ATLAS_Bot1,,2022TNSTR3671....1T,2023TNSCR.174....1P,
34,120210,SN 2022aaon,03:54:30.170,-34:40:07.25,SN IIn,0.07,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS22bmep,ATLAS-CHL - ATLAS-04,ESO-NTT - EFOSC2-NTT,1,1,,19.218,orange-ATLAS,2022-11-15 03:21:04.896,ATLAS_Bot1,,2022TNSTR3342....1T,2022TNSCR3631....1P,
