"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"67735","SN 2020vci","15:04:22.640","+51:04:56.86","SN IIn","0.193","","","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS20bcru","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","Keck1 - LRIS","1","1","","19.088","orange-ATLAS","2020-10-08 05:05:16.800","ATLAS_Bot1","","2020TNSTR3053....1T","2021TNSCR.223....1D, 2021TNSCR.358....1D",""
"66602","SN 2020tlf","14:40:10.020","+42:46:39.43","SN IIn","0.008463","","","ATLAS, GaiaAlerts, ZTF","ATLAS, GaiaAlerts, ZTF","None, UCSC","ATLAS; GaiaAlerts; ZTF","ATLAS20bbft","ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam","Keck1 - LRIS, Other - Other","1","1","","15.885","cyan-ATLAS","2020-09-16 05:18:14.400","ATLAS_Bot1","","2020TNSTR2815....1T","2020TNSCR2839....1B, 2020TNSCR2840....1D",""
"65581","SN 2020ryo","22:48:50.297","-17:16:32.46","SN IIn","0.207","","","ATLAS, Pan-STARRS, MASTER, ZTF","ATLAS, Pan-STARRS, MASTER, ZTF","REFITT","ATLAS; MASTER; Pan-STARRS; ZTF","ATLAS20yhp","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Other - Other, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","SOAR - Goodman","1","1","","19.563","orange-ATLAS","2020-08-22 12:11:31.200","ATLAS_Bot1","","2020TNSTR2589....1T","2020TNSCR3472....1W",""
"60367","SN 2020kro","00:40:08.160","+38:49:54.30","SN IIn","0.128","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS20nkd","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","Lick-3m - KAST","1","1","","18.524","orange-ATLAS","2020-05-21 14:16:48.000","ATLAS_Bot1","","2020TNSTR1440....1T","2020TNSCR2394....1B",""
"57943","SN 2020hfn","19:48:47.990","-10:34:22.64","SN IIn","0.024854","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS20kce","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P200 - DBSP","1","1","","18.721","orange-ATLAS","2020-04-13 14:16:48.000","ATLAS_Bot1","","2020TNSTR1028....1T","2020TNSCR1756....1D",""
"57868","SN 2020hcr","13:54:22.590","-05:21:25.38","SN IIn","0.051","","","ATLAS, Pan-STARRS, ZTF, GaiaAlerts","ATLAS, Pan-STARRS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS20jym","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","P60 - SEDM","1","1","","18.963","orange-ATLAS","2020-04-13 11:11:02.400","ATLAS_Bot1","","2020TNSTR1024....1T","2020TNSCR1114....1D",""
"56640","SN 2020fhw","15:00:29.900","+17:14:10.68","SN IIn","0.1116","","","ATLAS, Pan-STARRS, ZTF, GaiaAlerts","ATLAS, Pan-STARRS, ZTF, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS20jhp","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","","1","1","","19.569","orange-ATLAS","2020-03-29 12:43:12.000","ATLAS_Bot1","","2020TNSTR.894....1T","2020TNSCR2663....1Y",""
"54646","SN 2020dfh","17:42:01.600","+03:12:03.10","SN IIn","0.0293","","","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ATLAS, GaiaAlerts, ZTF, Pan-STARRS","ePESSTO+","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS20gle","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","18.696","cyan-ATLAS","2020-02-23 15:17:16.000","ATLAS_Bot1","","2020TNSTR.608....1T","2020TNSCR.666....1A",""
"50967","SN 2019yxk","04:13:46.314","-22:26:06.65","SN IIn","0.094","","","ATLAS, Pan-STARRS, ZTF","ATLAS, Pan-STARRS, ZTF","ePESSTO+","ATLAS; Pan-STARRS; ZTF","ATLAS19bepo","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","19.493","cyan-ATLAS","2019-12-28 09:24:28.000","ATLAS_Bot1","","2019TNSTR2726....1T","2020TNSCR3267....1I",""
"48839","SN 2019vts","06:35:03.415","+50:26:05.24","SN IIn","0.0395","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS19bbym","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","APO-3.5m - DIS","1","1","","19.171","cyan-ATLAS","2019-11-29 11:03:50.000","ATLAS_Bot1","","2019TNSTR2486....1T","2019TNSCR2630....1G",""
