ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
112098,SN 2022owp,32:43.7,+00:40:52.07,SN IIn,0.08,,,"ATLAS, GaiaAlerts","ATLAS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts,ATLAS22uxt,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric",UH88 - SNIFS,1,1,,18.577,orange-ATLAS,13:35.6,ATLAS_Bot1,,2022TNSTR1992....1T,2022TNSCR2018....1H,
111427,SN 2022nxg,37:06.5,+33:57:25.82,SN IIn,0.106,,,ATLAS,ATLAS,Global SN Project,ATLAS,ATLAS22sfg,ATLAS-HKO - ATLAS-02,Lick-3m - KAST,1,1,,19.197,cyan-ATLAS,00:59.3,ATLAS_Bot1,,2022TNSTR1810....1T,2023TNSCR3068....1L,
109573,SN 2022lew,52:54.1,+07:15:13.28,SN IIn,0.07,,,ATLAS,ATLAS,SCAT,ATLAS,ATLAS22pjn,"ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03",UH88 - SNIFS,1,1,,18.87,orange-ATLAS,30:21.9,ATLAS_Bot1,,2022TNSTR1462....1T,"2022TNSCR1476....1D, 2022TNSCR1530....1T",
107282,SN 2022iep,29:41.9,+40:20:05.78,SN IIn,0.025,,,"ATLAS, ZTF, Pan-STARRS, GaiaAlerts","ATLAS, ZTF, Pan-STARRS, GaiaAlerts",ZTF,ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ATLAS22muh,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2",LT - SPRAT,1,1,,18.968,orange-ATLAS,26:41.3,ATLAS_Bot1,,2022TNSTR1050....1T,2022TNSCR1302....1H,
106589,SN 2022hev,14:36.7,-10:25:38.85,SN IIn,0.054,,,"ATLAS, ALeRCE","ATLAS, ZTF",ZTF,ALeRCE; ATLAS,ATLAS22llx,"ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam",LT - SPRAT,1,1,,19.087,orange-ATLAS,55:55.8,ATLAS_Bot1,,2022TNSTR.928....1T,2022TNSCR1153....1P,
105411,SN 2022fnl,33:42.5,+43:44:45.38,SN IIn,0.1035,,,"ATLAS, ALeRCE, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF, iPTF",ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS,ATLAS22keu,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",NOT - ALFOSC,1,1,,19.577,cyan-ATLAS,38:58.0,ATLAS_Bot1,,2022TNSTR.828....1T,"2022TNSCR1282....1S, 2022TNSCR1276....1S",
101578,SN 2022dkw,35:50.3,+24:40:58.20,SN IIn,0.036,,,"ATLAS, ZTF","ATLAS, ZTF",ePESSTO+,ATLAS; ZTF,ATLAS22hmu,"ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,19.059,orange-ATLAS,33:46.1,ATLAS_Bot1,,2022TNSTR.534....1T,2022TNSCR.763....1M,
101493,SN 2022dhp,11:42.5,+28:34:21.47,SN IIn,0.085,,,"ATLAS, ZTF, AMPEL, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS",SCAT,AMPEL; ATLAS; GaiaAlerts; Pan-STARRS; ZTF,ATLAS22hjz,"ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2",UH88 - SNIFS,1,1,,19,orange-ATLAS,36:16.7,ATLAS_Bot1,,2022TNSTR.524....1T,2022TNSCR.749....1D,
101432,SN 2022dfh,34:32.0,+14:53:45.85,SN IIn,0.064,,,"ATLAS, Pan-STARRS","ATLAS, Pan-STARRS",ePESSTO+,ATLAS; Pan-STARRS,ATLAS22hcj,"ATLAS-CHL - ATLAS-04, ATLAS-MLO - ATLAS-01, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,18.965,orange-ATLAS,16:35.3,ATLAS_Bot1,,2022TNSTR.513....1T,2022TNSCR.689....1F,
101210,SN 2022cxa,31:33.8,+20:45:32.54,SN IIn,0.088,,,"ATLAS, Pan-STARRS, GaiaAlerts","ATLAS, Pan-STARRS, GaiaAlerts",SCAT,ATLAS; GaiaAlerts; Pan-STARRS,ATLAS22ghs,"ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS2 - GPC2",UH88 - SNIFS,1,1,,18.892,orange-ATLAS,39:32.3,ATLAS_Bot1,,2022TNSTR.470....1T,2022TNSCR.503....1H,
