reqId	ra	dec	startJD	endJD	created	started	ended	machine	exitcode	lightcurve
387583	218.631229166667	58.3091555555556	2460308.824699	2460908.824699	2024-09-29 09:55:41.340117	2024-09-29 10:25:41.903613	2024-09-29 10:31:15.219409	43	0	/ztf/ops/forcedphot/lc/0/387/req387583/cksum30e9c041e31a58c7220fab5af27cd8fc/forcedphotometry_req00387583_lc.txt
387584	259.2028375	47.9196777777778	2460045.725000	2460645.725000	2024-09-29 09:55:41.401307	2024-09-29 10:25:43.781758	2024-09-29 10:41:28.983901	45	0	/ztf/ops/forcedphot/lc/0/387/req387584/cksumbc49c51000771c93f6f0a04c10546623/forcedphotometry_req00387584_lc.txt
387585	115.932425	34.3750166666667	2460132.997002	2460732.997002	2024-09-29 09:55:41.468068	2024-09-29 10:27:29.992541	2024-09-29 10:36:36.353071	34	0	/ztf/ops/forcedphot/lc/0/387/req387585/cksumb2dfbf3ed152f73f1c458fa883a8bf5e/forcedphotometry_req00387585_lc.txt
387586	269.822258333333	69.8611138888889	2460386.735764	2460986.735764	2024-09-29 09:55:41.500994	2024-09-29 10:27:30.948053	2024-09-29 10:34:45.891457	39	0	/ztf/ops/forcedphot/lc/0/387/req387586/cksum8e899fa8e982b6a2dffc77f4afccacf6/forcedphotometry_req00387586_lc.txt
387587	34.300625	1.599	2460069.922000	2460669.922000	2024-09-29 09:55:41.558469	2024-09-29 10:27:31.032195	2024-09-29 10:32:11.781198	44	0	/ztf/ops/forcedphot/lc/0/387/req387587/cksum364c0bfe61529062c94fdcbc954918f8/forcedphotometry_req00387587_lc.txt
387588	312.273133333333	-19.7925055555556	2460009.944000	2460609.944000	2024-09-29 09:55:41.618275	2024-09-29 10:27:31.001238	2024-09-29 10:34:09.250786	46	57	/ztf/ops/forcedphot/lc/0/387/req387588/cksum3970730d269b93bbe776c7ed9da37efd/forcedphotometry_req00387588_lc.txt
387589	272.98705	52.841075	2459951.947000	2460551.947000	2024-09-29 09:55:41.717317	2024-09-29 10:27:32.892595	2024-09-29 10:46:35.231829	47	56	/ztf/ops/forcedphot/lc/0/387/req387589/cksume81e988ad5d9f8f135375ca22f845836/forcedphotometry_req00387589_lc.txt
387590	271.001041666667	74.0139694444444	2458969.745750	2459569.745750	2024-09-29 09:55:41.825827	2024-09-29 10:27:31.141185	2024-09-29 10:52:25.607585	48	0	/ztf/ops/forcedphot/lc/0/387/req387590/cksumc662a3af1d2721fa6a8113043d21ddb4/forcedphotometry_req00387590_lc.txt
387591	240.549579166667	53.2659305555556	2460255.967164	2460855.967164	2024-09-29 09:55:41.889351	2024-09-29 10:27:30.951097	2024-09-29 10:32:53.237512	49	0	/ztf/ops/forcedphot/lc/0/387/req387591/cksumd3289963af97cdc598ba4eaf09023db7/forcedphotometry_req00387591_lc.txt
387592	256.98665	18.2152	2460448.715544	2461048.715544	2024-09-29 09:55:41.956097	2024-09-29 10:32:32.620393	2024-09-29 10:36:11.520466	33	0	/ztf/ops/forcedphot/lc/0/387/req387592/cksum404df86792933c9b52e3a4ce015c9c53/forcedphotometry_req00387592_lc.txt
