         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  __tmp_SN
57602.323752 19.271854      NaN    11    20 c    0   1.05 253.48661 -9.69951 10166.15  1913.87 5.01 4.01  44.2 -0.491    19.57 21.56 02a57602o0154c  0.550000
57602.325814 19.569016      NaN   -10    18 c    0   1.05 253.48661 -9.69951   474.15  1982.45 5.26 3.68 -28.7 -0.468    19.55 21.55 02a57602o0158c -0.555556
57602.335205 19.351140      NaN    -5    22 c    0   0.94 253.48661 -9.69951 10224.88  1990.28 5.08 4.03  46.5 -0.497    19.58 21.58 02a57602o0176c -0.227273
57602.346634 19.454622      NaN   -31    20 c    0   1.09 253.48661 -9.69951 10246.33  1872.65 5.13 4.08  43.8 -0.494    19.57 21.57 02a57602o0198c -1.550000
57602.348261 19.454622      NaN   -33    20 c    0   0.92 253.48661 -9.69951   457.57  1922.16 5.22 3.66 -27.3 -0.469    19.56 21.56 02a57602o0201c -1.650000
57602.357656 19.569016      NaN   -24    18 c    0   1.36 253.48661 -9.69951 10208.38  1933.30 5.10 4.05  44.6 -0.479    19.56 21.57 02a57602o0219c -1.333333
57603.301862 19.302877      NaN    15    18 c    0   1.24 253.48661 -9.69951   798.49  2552.75 4.86 3.62 -29.7 -0.480    19.52 21.46 02a57603o0132c  0.833333
57603.313384 18.978793      NaN    36    19 c    0   1.17 253.48661 -9.69951   779.73  2512.44 4.99 3.68 -29.5 -0.473    19.50 21.46 02a57603o0154c  1.894737
57603.322769 18.649074      NaN  -134    42 c    0   6.07 253.48661 -9.69951 10524.82  2513.91 5.17 4.12  53.5 -0.488    19.49 21.47 02a57603o0172c -3.190476
57603.324306 19.569016      NaN    -5    18 c    0   1.06 253.48661 -9.69951   840.53  2590.94 4.94 3.66 -29.5 -0.476    19.49 21.45 02a57603o0175c -0.277778
57603.335905 19.569016      NaN   -31    18 c    0   0.99 253.48661 -9.69951   862.25  2472.13 4.93 3.66 -29.2 -0.474    19.49 21.44 02a57603o0197c -1.722222
57603.347217 19.454622      NaN   -14    20 c    0   1.10 253.48661 -9.69951   826.24  2530.68 4.95 3.67 -28.1 -0.465    19.47 21.42 02a57603o0216c -0.700000
57608.294111 19.510313      NaN   -54    19 c    0   1.00 253.48661 -9.69951  7767.37  8859.48 4.20 3.56  87.8 -0.486    19.40 21.10 02a57608o0090c -2.842105
57608.316532 19.401649      NaN   -28    21 c    0   1.08 253.48661 -9.69951  7809.69  8896.18 4.19 3.60 -88.0 -0.476    19.39 21.12 02a57608o0120c -1.333333
57608.327743 19.063754      NaN    26    20 c    0   1.09 253.48661 -9.69951  7829.05  8781.92 4.18 3.60 -89.1 -0.475    19.41 21.16 02a57608o0135c  1.300000
57608.338915 19.102305      NaN    26    19 c    0   1.01 253.48661 -9.69951  7792.15  8839.91 4.27 3.71 -87.6 -0.456    19.41 21.22 02a57608o0150c  1.368421
57627.264388 19.696897      NaN   -44    16 c    0   1.41 253.48661 -9.69951  6199.81  9303.30 3.79 3.50  -4.5 -0.391    19.37 21.23 02a57627o0051c -2.750000
57627.275875 19.529530      NaN     2    18 c    0   1.11 253.48661 -9.69951  6181.26  9263.69 3.72 3.44  -9.6 -0.393    19.37 21.22 02a57627o0073c  0.111111
57627.286404 19.454622      NaN    -8    20 c    0   0.79 253.48661 -9.69951  6241.08  9341.57 3.67 3.39 -10.5 -0.397    19.37 21.22 02a57627o0093c -0.400000
57627.296883 19.351140      NaN    12    18 c    0   1.07 253.48661 -9.69951  6262.30  9223.81 3.56 3.27 -16.1 -0.407    19.39 21.21 02a57627o0113c  0.666667
57627.308507 19.696897      NaN    -8    16 c    0   1.23 253.48661 -9.69951  6226.12  9280.50 3.74 3.51 -11.4 -0.411    19.34 21.20 02a57627o0135c -0.500000
57844.616768 19.454622      NaN   -24    20 c    0   1.11 253.48661 -9.69951  1414.81   963.93 4.41 4.08   1.1 -0.374    19.40 21.38 02a57844o0729c -1.200000
57844.638250 18.967180      NaN    28    22 c    0   1.46 253.48661 -9.69951  1395.61   925.02 4.01 3.78  87.0 -0.415    19.25 20.87 02a57844o0768c  1.272727
57903.494976 19.979496      NaN     7    10 c    0   0.85 253.48661 -9.69951  7931.77  9868.28 2.77 2.53  27.3 -0.426    19.74 21.36 02a57903o0507c  0.700000
57903.528252 20.103715      NaN     0    11 c    0   0.64 253.48661 -9.69951  7971.59  9910.85 2.70 2.59   6.1 -0.424    19.68 21.30 02a57903o0572c  0.000000
57903.561550 20.207197      NaN    -9    10 c    0   1.26 253.48661 -9.69951  7958.19  9847.11 2.65 2.51   9.0 -0.436    19.66 21.23 02a57903o0637c -0.900000
57904.440332 20.009244      NaN   -20    12 c    0   1.00 253.48661 -9.69951  8949.33   281.38 3.14 2.47 -51.6 -0.368    19.67 21.42 02a57904o0210c -1.666667
57904.461208 20.171596      NaN     4     9 c    0   1.08 253.48661 -9.69951  1549.73 10204.68 2.35 2.29   5.5 -0.468    19.71 21.42 02a57904o0250c  0.444444
57904.483340 19.549093      NaN    16    13 c    0   0.73 253.48661 -9.69951  8986.55   324.50 3.13 2.43 -51.7 -0.369    19.67 21.44 02a57904o0292c  1.230769
57904.494234 19.922338      NaN    -3    13 c    0   0.96 253.48661 -9.69951  9008.56   203.87 3.19 2.44 -50.8 -0.365    19.66 21.44 02a57904o0313c -0.230769
57904.514546 20.009244      NaN    -2    12 c    0   1.53 253.48661 -9.69951  8970.59   261.99 3.26 2.51 -49.6 -0.367    19.64 21.40 02a57904o0350c -0.166667
57982.320449 20.207197      NaN   -12    10 c    0   1.17 253.48661 -9.69951  6249.60  9950.10 2.52 2.46  34.8 -0.435    19.72 21.27 02a57982o0181c -1.200000
57982.324433 19.979496      NaN     4    11 c    0   1.12 253.48661 -9.69951  9258.24   291.48 2.59 2.44  73.9 -0.414    19.77 21.37 02a57982o0189c  0.363636
57982.329543 20.009244      NaN     6    10 c    0   1.51 253.48661 -9.69951  6233.14  9909.49 2.49 2.45   7.1 -0.435    19.72 21.28 02a57982o0199c  0.600000
57982.333668 19.491430      NaN    19    13 c    0   0.75 253.48661 -9.69951  9242.25   250.62 2.56 2.43  72.7 -0.411    19.77 21.37 02a57982o0207c  1.461538
57982.338211 19.979496      NaN     1    12 c    0   0.80 253.48661 -9.69951  6293.09  9986.73 2.51 2.42   9.7 -0.437    19.71 21.25 02a57982o0216c  0.083333
57982.342473 19.950541      NaN     5    11 c    0   0.71 253.48661 -9.69951  9301.46   328.15 2.56 2.44  72.6 -0.412    19.74 21.32 02a57982o0224c  0.454545
57982.347553 20.171596      NaN     1    10 c    0   1.35 253.48661 -9.69951  6313.70  9868.44 2.51 2.41  -7.5 -0.438    19.67 21.21 02a57982o0234c  0.100000
57982.351802 20.103715      NaN   -14    11 c    0   1.22 253.48661 -9.69951  9323.52   210.46 2.60 2.43  63.7 -0.416    19.69 21.30 02a57982o0242c -1.272727
57986.307799 13.789925      NaN -2272  3689 c    0   0.84 253.48661 -9.69951  2449.89  2528.37 2.52 2.43  41.5 -0.414    15.32 16.85 02a57986o0133c -0.615885
57986.316960 18.649074      NaN   -19    42 c    0   0.77 253.48661 -9.69951  2433.35  2488.12 2.47 2.35  70.8 -0.392    17.76 19.26 02a57986o0151c -0.452381
57986.325692 19.351140      NaN    -6    22 c    0   1.34 253.48661 -9.69951  2493.79  2565.96 2.48 2.37  67.6 -0.398    18.90 20.47 02a57986o0168c -0.272727
57986.334995 19.766969      NaN   -27    15 c    0   1.41 253.48661 -9.69951  2514.30  2449.40 2.50 2.39  74.4 -0.402    18.99 20.52 02a57986o0186c -1.800000
58222.597590 20.009244      NaN   -22    12 c    0   1.46 253.48661 -9.69951  8209.48  4002.77 2.58 2.48  85.4 -0.416    19.18 20.78 02a58222o0023c -1.833333
58222.607774 19.351140      NaN   -21    22 c    0   0.75 253.48661 -9.69951  8189.84  3965.14 2.62 2.50 -89.7 -0.416    18.90 20.49 02a58222o0044c -0.954545
58222.617951 19.510313      NaN    18    13 c    0   0.96 253.48661 -9.69951  8247.48  4042.58 2.64 2.50  78.3 -0.428    19.24 20.87 02a58222o0065c  1.384615
58222.628097 19.510313      NaN     9    16 c    0   1.08 253.48661 -9.69951  8267.76  3925.49 2.61 2.48  74.5 -0.433    19.25 20.71 02a58222o0086c  0.562500
58226.607104 16.812360      NaN    72   204 c    0   1.13 253.48661 -9.69951   806.37  4554.83 2.40 2.32  24.3 -0.446    16.29 17.71 02a58226o0602c  0.352941
58226.617621 17.192382      NaN    11   157 c    0   1.37 253.48661 -9.69951   790.08  4514.21 2.40 2.33  24.9 -0.432    16.53 17.92 02a58226o0624c  0.070064
58226.618736 16.029265      NaN  -158   469 c    0   0.29 253.48661 -9.69951 10516.74  4552.19 2.55 2.46  89.7 -0.473    16.67 18.08 02a58226o0626c -0.336887
58226.628798 18.034118      NaN   -76    74 c    0   1.47 253.48661 -9.69951   850.57  4591.53 2.42 2.36  22.1 -0.433    17.30 18.59 02a58226o0647c -1.027027
58226.629254 17.459147      NaN    35   114 c    0   0.71 253.48661 -9.69951 10499.82  4512.14 2.56 2.50 -79.7 -0.497    17.40 18.67 02a58226o0648c  0.307018
