         MJD         m       dm   uJy  duJy F  err   chi/N     RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs   __tmp_SN
57539.494241 19.569016      NaN    -9    18 c    0    1.31 253.49 -9.70757  9333.09  1288.09 4.50 3.91  33.7 -0.505    19.51 21.45 02a57539o0199c  -0.500000
57540.424963 18.675237      NaN   -17    41 c    0    1.24 253.49 -9.70757  8651.01  9816.35 4.38 3.72  83.7 -0.426    18.58 20.44 02a57540o0378c  -0.414634
57540.432707 18.459772      NaN    54    32 c    0    1.10 253.49 -9.70757  1857.48   157.36 5.72 4.33 -15.1 -0.441    18.88 20.88 02a57540o0393c   1.687500
57540.438615 18.582238      NaN    50    28 c    0    0.84 253.49 -9.70757  8689.26  9854.37 4.69 4.04  83.5 -0.403    19.11 21.09 02a57540o0404c   1.785714
57540.446734 19.076453      NaN     1    28 c    0    1.19 253.49 -9.70757  1878.37   194.28 5.13 3.63 -15.4 -0.501    19.05 20.92 02a57540o0419c   0.035714
57540.452752 19.351140      NaN     3    21 c    0    1.07 253.49 -9.70757  1932.66   776.65 5.12 3.74 -18.0 -0.497    19.51 21.46 02a57540o0430c   0.142857
57540.460877 19.569016      NaN   -39    18 c    0    1.24 253.49 -9.70757  8723.55 10436.14 4.30 3.91  80.2 -0.406    19.46 21.34 02a57540o0445c  -2.166667
57540.467173 19.351140      NaN   -12    22 c    0    1.12 253.49 -9.70757  1950.58   660.22 5.27 3.76 -18.9 -0.488    19.50 21.44 02a57540o0456c  -0.545455
57540.475578 19.454622      NaN    -7    20 c    0    0.86 253.49 -9.70757  8738.73 10318.62 4.31 3.87  80.5 -0.415    19.46 21.34 02a57540o0471c  -0.350000
57540.481468 19.102305      NaN    17    22 c    0    0.98 253.49 -9.70757  1909.12   716.92 5.16 3.68 -17.9 -0.491    19.52 21.43 02a57540o0482c   0.772727
57540.489539 19.454622      NaN     3    19 c    0    1.14 253.49 -9.70757  8698.72 10378.66 4.18 3.79  81.3 -0.428    19.47 21.32 02a57540o0497c   0.157895
57544.416817 19.002397      NaN    28    21 c    0    0.99 253.49 -9.70757  1973.46  1334.02 4.96 3.75 -18.6 -0.473    19.54 21.58 02a57544o0372c   1.333333
57544.430076 18.921935      NaN    44    18 c    0    1.17 253.49 -9.70757  1962.61  1297.30 4.75 3.68 -19.8 -0.485    19.58 21.57 02a57544o0398c   2.444444
57544.444070 19.142275      NaN    23    19 c    0    1.01 253.49 -9.70757  2008.14  1386.42 4.63 3.59 -20.7 -0.485    19.58 21.57 02a57544o0424c   1.210526
57544.458088 19.491430      NaN     4    18 c    0    1.15 253.49 -9.70757  2026.36  1273.71 4.78 3.71 -19.7 -0.474    19.56 21.53 02a57544o0450c   0.222222
57544.472420 18.921935      NaN    35    21 c    0    0.92 253.49 -9.70757  1988.12  1332.38 4.66 3.66 -18.3 -0.475    19.55 21.49 02a57544o0476c   1.666667
57548.415948 19.115465      NaN    28    18 c    0    0.95 253.49 -9.70757  6466.41 10090.49 4.02 3.93  56.1 -0.409    19.48 21.39 02a57548o0372c   1.555556
57548.418465 19.102305      NaN    11    24 c    0    1.04 253.49 -9.70757  9476.47   430.02 4.90 3.91  25.2 -0.469    19.50 21.47 02a57548o0377c   0.458333
57548.429011 19.076453      NaN    28    19 c    0    0.98 253.49 -9.70757  6446.54 10057.07 4.14 3.99  73.0 -0.402    19.44 21.39 02a57548o0398c   1.473684
57548.431538 19.351140      NaN    -4    22 c    0    1.13 253.49 -9.70757  9457.54   397.30 4.95 3.94  25.6 -0.450    19.51 21.47 02a57548o0403c  -0.181818
57548.443079 19.510313      NaN    -5    19 c    0    0.92 253.49 -9.70757  6501.03 10143.10 4.08 3.99  86.0 -0.395    19.45 21.37 02a57548o0424c  -0.263158
57548.445763 18.990530      NaN    20    24 c    0    0.88 253.49 -9.70757  9511.43   484.36 4.98 4.15  28.9 -0.459    19.47 21.45 02a57548o0429c   0.833333
57548.457081 19.401649      NaN     9    18 c    0    1.07 253.49 -9.70757  6520.77 10028.91 3.91 3.81  75.2 -0.419    19.49 21.37 02a57548o0450c   0.500000
57548.459798 19.169763      NaN   -24    26 c    0    1.21 253.49 -9.70757  9532.30   370.29 5.14 4.01  26.5 -0.449    19.50 21.46 02a57548o0455c  -0.923077
57548.471102 19.631075      NaN    -6    17 c    0    1.12 253.49 -9.70757  6481.78 10089.77 3.94 3.83 -86.6 -0.416    19.48 21.37 02a57548o0476c  -0.352941
57548.473814 19.226921      NaN     2    24 c    0    0.94 253.49 -9.70757  9492.36   430.73 4.97 3.84  27.1 -0.450    19.53 21.46 02a57548o0481c   0.083333
57575.355482 19.436675      NaN     1    20 c    0    1.02 253.49 -9.70757  1392.16   185.96 5.36 4.00 -21.4 -0.454    19.57 21.68 02a57575o0243c   0.050000
57575.360050 19.142275      NaN    23    19 c    0    0.88 253.49 -9.70757  8179.99  9852.04 4.38 4.12  74.7 -0.400    19.45 21.51 02a57575o0252c   1.210526
57575.366715 19.256669      NaN   -17    24 c    0    0.99 253.49 -9.70757  1373.90   147.71 5.37 3.89 -20.3 -0.450    19.48 21.55 02a57575o0265c  -0.708333
57575.371284 19.384550      NaN     7    19 c    0    1.11 253.49 -9.70757  8161.98  9815.40 4.28 3.93  76.1 -0.408    19.44 21.45 02a57575o0274c   0.368421
57575.377874 19.401649      NaN   -16    21 c    0    1.04 253.49 -9.70757  1433.27   228.04 5.46 3.97 -20.5 -0.441    19.50 21.57 02a57575o0287c  -0.761905
57575.382896 18.910912      NaN    42    19 c    0    0.97 253.49 -9.70757  8220.56  9895.29 4.25 3.89  83.1 -0.419    19.53 21.55 02a57575o0297c   2.210526
57575.389938 18.220396      NaN    64    41 c    0    1.21 253.49 -9.70757  1451.80   111.10 5.69 4.14 -20.1 -0.412    18.66 20.65 02a57575o0311c   1.560976
57575.394957 18.000411      NaN    52    59 c    0    0.93 253.49 -9.70757  8239.40  9780.97 4.26 3.91  80.1 -0.411    18.29 20.19 02a57575o0321c   0.881356
57575.402002 18.376212      NaN   -34    54 c    0    1.05 253.49 -9.70757  1415.09   173.16 5.38 3.87 -19.4 -0.455    18.50 20.45 02a57575o0335c  -0.629630
57575.406955 19.510313      NaN   -34    19 c    0    0.93 253.49 -9.70757  8202.31  9842.18 4.26 3.91  83.9 -0.413    19.50 21.50 02a57575o0345c  -1.789474
57576.365050 19.454622      NaN   -14    20 c    0    1.09 253.49 -9.70757   829.96   311.92 5.54 4.05 -22.9 -0.434    19.47 21.49 02a57576o0170c  -0.700000
57576.369593 19.569016      NaN   -30    18 c    0    0.94 253.49 -9.70757  7622.05  9985.18 4.18 3.97  63.3 -0.410    19.46 21.39 02a57576o0179c  -1.666667
57576.376210 19.401649      NaN   -25    21 c    0    0.95 253.49 -9.70757   891.22   390.98 5.29 3.78 -24.4 -0.462    19.52 21.46 02a57576o0192c  -1.190476
57576.381227 19.569016      NaN   -24    18 c    0    0.96 253.49 -9.70757  7680.96 10065.61 4.14 3.85  80.4 -0.425    19.48 21.37 02a57576o0202c  -1.333333
57576.388270 19.454622      NaN   -57    20 c    0    1.08 253.49 -9.70757   909.98   274.77 5.36 3.79 -21.4 -0.465    19.51 21.44 02a57576o0216c  -2.850000
57577.348040 19.454622      NaN   -34    20 c    0    0.97 253.49 -9.70757  1020.22   193.06 5.20 3.66 -21.3 -0.475    19.64 21.67 02a57577o0216c  -1.700000
