,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
411,59501.534696,21.216,0.891,12,11,o,0,1.53,66.66112,-11.89603,1265.89,9713.4,1.79,1.64,-50.8,-0.501,19.51,20.73,02a59501o0739o
412,59501.536526,20.968,0.827,15,12,o,0,1.07,66.66112,-11.89603,1285.01,9752.46,1.82,1.63,-47.5,-0.478,19.55,20.73,02a59501o0743o
413,59501.539269,21.753,1.904,7,14,o,0,0.82,66.66112,-11.89603,1227.75,9674.04,1.93,1.57,-53.7,-0.51,19.6,20.72,02a59501o0749o
414,59501.550202,-21.497,1.308,-9,12,o,0,1.38,66.66112,-11.89603,1206.96,9792.81,1.8,1.63,-45.3,-0.525,19.54,20.69,02a59501o0772o
415,59503.472882,23.891,16.0,1,16,o,0,1.56,66.66112,-11.89603,3134.07,2660.5,2.95,2.93,-50.6,-0.457,18.93,20.1,01a59503o0581o
416,59503.474723,-20.871,1.057,-16,17,o,0,1.13,66.66112,-11.89603,3113.98,2621.03,2.83,2.72,-39.9,-0.487,19.03,20.12,01a59503o0585o
417,59503.477491,20.589,0.8,21,17,o,0,1.22,66.66112,-11.89603,3173.83,2698.6,2.97,2.78,32.8,-0.454,19.0,20.13,01a59503o0591o
418,59503.483477,20.597,0.821,21,17,o,0,1.11,66.66112,-11.89603,3190.04,2580.45,2.78,2.7,-3.3,-0.484,19.05,20.16,01a59503o0604o
419,59506.473335,-21.269,1.864,-11,21,o,0,0.91,66.66112,-11.89603,1501.22,3392.81,1.97,1.84,33.4,-0.461,18.82,19.14,02a59506o0621o
420,59506.476539,20.422,0.941,25,23,o,0,0.83,66.66112,-11.89603,1520.91,3431.22,1.9,1.82,21.8,-0.468,18.84,19.15,02a59506o0628o
421,59506.480202,-23.692,17.077,-1,21,o,0,1.05,66.66112,-11.89603,1461.33,3353.19,1.96,1.79,26.1,-0.471,18.85,19.18,02a59506o0636o
422,59506.487988,20.523,0.979,22,22,o,0,1.03,66.66112,-11.89603,1439.52,3470.78,1.96,1.82,31.7,-0.463,18.86,19.19,02a59506o0651o
423,59508.428707,19.655,0.758,50,38,o,0,1.05,66.66112,-11.89603,4913.14,596.4,2.7,2.67,18.7,-0.471,18.19,18.64,01a59508o0529o
424,59508.432446,19.85,0.858,42,36,o,0,1.03,66.66112,-11.89603,4892.07,556.01,2.77,2.73,-55.4,-0.476,18.18,18.65,01a59508o0537o
425,59508.435669,19.278,0.519,71,37,o,0,1.21,66.66112,-11.89603,4951.52,634.34,2.8,2.77,-31.2,-0.47,18.21,18.67,01a59508o0544o
426,59508.443992,-21.271,3.281,-11,37,o,0,1.22,66.66112,-11.89603,4968.6,514.6,2.89,2.85,-49.7,-0.451,18.21,18.7,01a59508o0562o
427,59509.475259,19.535,0.588,56,33,o,0,1.13,66.66112,-11.89603,1499.42,3396.3,2.53,2.5,-49.8,-0.413,18.31,18.78,02a59509o0633o
428,59509.478949,20.969,1.845,15,27,o,0,1.42,66.66112,-11.89603,1520.2,3429.79,2.43,2.38,-48.3,-0.426,18.34,18.8,02a59509o0641o
429,59509.484458,19.729,0.66,47,31,o,0,1.13,66.66112,-11.89603,1461.8,3353.63,2.57,2.48,27.4,-0.417,18.34,18.81,02a59509o0653o
430,59509.504128,20.533,1.562,22,35,o,0,0.83,66.66112,-11.89603,1444.86,3472.81,2.46,2.39,2.2,-0.423,18.37,18.85,02a59509o0695o
431,59510.465353,20.025,0.716,36,25,o,0,0.93,66.66112,-11.89603,1503.35,3393.2,2.15,1.93,23.2,-0.445,18.6,18.93,02a59510o0612o
432,59510.46907,-21.532,3.013,-9,27,o,0,0.99,66.66112,-11.89603,1522.69,3430.69,2.24,2.02,28.0,-0.445,18.62,18.94,02a59510o0620o
433,59510.472727,21.663,3.661,8,29,o,0,0.94,66.66112,-11.89603,1463.03,3353.2,2.35,2.15,27.1,-0.435,18.56,18.96,02a59510o0628o
434,59510.480603,21.092,1.7,13,23,o,0,1.12,66.66112,-11.89603,1443.64,3469.34,2.09,1.91,25.0,-0.453,18.72,18.97,02a59510o0645o
435,59512.522605,-23.399,12.714,-2,20,o,0,1.03,66.66112,-11.89603,5814.94,5639.22,3.35,3.05,-5.9,-0.394,18.86,19.98,01a59512o0736o
436,59512.556863,23.018,7.583,2,17,o,0,1.47,66.66112,-11.89603,5840.34,5674.42,2.88,2.82,-22.0,-0.435,18.92,19.9,01a59512o0809o
437,59512.560088,20.253,0.669,29,19,o,0,1.08,66.66112,-11.89603,5781.4,5598.34,2.97,2.8,-4.1,-0.428,18.91,19.89,01a59512o0816o
438,59512.588487,20.083,0.586,34,20,o,0,0.99,66.66112,-11.89603,5767.99,5716.93,2.79,2.78,41.2,-0.446,18.93,19.84,01a59512o0877o
439,59513.494009,20.719,0.826,19,16,o,0,0.77,66.66112,-11.89603,1502.6,3392.27,2.13,2.03,27.3,-0.439,19.26,20.03,02a59513o0670o
440,59513.496761,22.793,5.5,3,15,o,0,1.08,66.66112,-11.89603,1523.21,3432.17,2.09,2.02,25.0,-0.439,19.26,20.02,02a59513o0676o
441,59513.499964,20.732,0.641,18,12,o,0,1.84,66.66112,-11.89603,1464.15,3353.68,2.09,2.04,34.0,-0.448,19.21,20.01,02a59513o0683o
442,59513.510864,21.183,1.136,12,14,o,0,0.96,66.66112,-11.89603,1446.09,3470.39,2.04,1.99,17.1,-0.447,19.25,20.02,02a59513o0706o
443,59516.473808,23.228,8.778,2,16,o,0,1.2,66.66112,-11.89603,4719.59,4952.99,2.69,2.59,-25.0,-0.476,19.04,20.47,01a59516o0630o
444,59516.475652,-24.491,24.667,-1,14,o,0,1.4,66.66112,-11.89603,4699.33,4914.2,2.72,2.64,-39.6,-0.471,19.19,20.66,01a59516o0634o
445,59516.480359,20.651,0.628,20,12,o,0,1.12,66.66112,-11.89603,4760.14,4990.53,2.73,2.66,-26.8,-0.468,19.37,20.99,01a59516o0644o
446,59516.506754,20.568,0.76,22,16,o,0,1.3,66.66112,-11.89603,4777.64,4864.02,2.78,2.67,-46.7,-0.467,19.04,20.49,01a59516o0700o
447,59518.520571,20.914,0.577,16,9,o,0,1.76,66.66112,-11.89603,9381.68,2790.01,2.03,1.98,-66.4,-0.437,19.62,21.0,02a59518o0721o
448,59518.555927,20.666,0.545,20,11,o,0,1.19,66.66112,-11.89603,9365.62,2755.1,2.05,1.91,-59.2,-0.446,19.64,20.96,02a59518o0797o
449,59518.561082,21.065,0.881,14,12,o,0,0.73,66.66112,-11.89603,9428.16,2835.26,2.08,1.94,-60.0,-0.441,19.62,20.91,02a59518o0808o
450,59518.563915,21.161,0.992,12,12,o,0,0.89,66.66112,-11.89603,9449.39,2719.06,2.05,1.93,-62.9,-0.445,19.57,20.88,02a59518o0814o
451,59520.452661,-20.449,0.488,-24,12,o,0,1.06,66.66112,-11.89603,4860.16,8925.92,2.85,2.81,33.4,-0.45,19.39,21.09,01a59520o0593o
452,59520.457735,-20.5,0.464,-23,11,o,0,1.49,66.66112,-11.89603,4838.87,8885.61,2.79,2.75,-0.1,-0.456,19.37,21.11,01a59520o0604o
453,59520.461422,21.363,1.107,10,12,o,0,1.06,66.66112,-11.89603,4898.67,8961.97,2.82,2.78,24.0,-0.449,19.39,21.11,01a59520o0612o
454,59520.471625,21.153,0.833,12,10,o,0,1.57,66.66112,-11.89603,4918.5,8842.3,2.87,2.81,-8.8,-0.451,19.4,21.12,01a59520o0634o
455,59522.471899,20.788,0.385,18,7,c,0,1.91,66.66112,-11.89603,3804.87,1743.2,2.41,2.38,-42.8,-0.403,19.68,21.54,02a59522o0635c
456,59522.477454,22.197,1.658,5,8,c,0,1.17,66.66112,-11.89603,3824.18,1781.84,2.37,2.35,74.7,-0.404,19.69,21.55,02a59522o0647c
457,59522.479293,-23.556,5.273,-1,7,c,0,1.83,66.66112,-11.89603,3766.96,1703.07,2.36,2.32,-72.5,-0.403,19.7,21.55,02a59522o0651c
458,59522.486615,21.528,0.901,9,8,c,0,1.18,66.66112,-11.89603,3746.94,1819.46,2.37,2.34,82.4,-0.406,19.7,21.51,02a59522o0667c
459,59523.376586,-20.353,0.553,-26,14,o,0,1.29,66.66112,-11.89603,4851.78,8937.43,3.23,3.01,-12.9,-0.434,19.08,20.59,01a59523o0428o
460,59523.3826,23.245,9.857,2,18,o,0,0.88,66.66112,-11.89603,4834.62,8899.21,3.79,2.98,-1.8,-0.416,19.0,20.63,01a59523o0441o
461,59523.386349,-20.409,0.615,-25,15,o,0,1.34,66.66112,-11.89603,4895.36,8976.46,3.7,3.1,1.2,-0.4,19.01,20.64,01a59523o0449o
462,59523.398838,20.087,0.468,34,16,o,0,1.15,66.66112,-11.89603,4915.79,8857.32,3.49,3.07,0.2,-0.402,19.11,20.72,01a59523o0476o
463,59524.451453,20.714,0.685,19,13,o,0,1.34,66.66112,-11.89603,4860.1,8923.71,3.79,3.08,0.8,-0.386,19.16,20.97,01a59524o0585o
464,59524.453296,20.677,0.651,20,13,o,0,1.14,66.66112,-11.89603,4840.15,8884.34,3.4,2.95,-0.6,-0.408,19.22,20.98,01a59524o0589o
465,59524.456539,23.791,11.8,1,13,o,0,1.14,66.66112,-11.89603,4900.41,8960.49,3.26,3.0,5.2,-0.414,19.25,20.98,01a59524o0596o
466,59524.466707,21.021,0.934,14,13,o,0,1.23,66.66112,-11.89603,4920.91,8841.52,3.21,3.08,12.8,-0.423,19.2,20.96,01a59524o0618o
467,59525.528201,-22.093,2.172,-5,12,c,0,1.13,66.66112,-11.89603,6760.24,8808.98,3.01,2.75,52.5,-0.375,19.52,21.33,02a59525o0191c
468,59525.531407,20.099,0.337,33,11,c,0,0.9,66.66112,-11.89603,6741.18,8770.31,2.9,2.72,54.0,-0.373,19.53,21.32,02a59525o0198c
469,59525.537372,20.194,0.36,30,11,c,0,1.12,66.66112,-11.89603,6799.77,8850.07,2.99,2.89,76.7,-0.374,19.49,21.32,02a59525o0211c
470,59525.572615,-21.912,1.622,-6,10,c,0,1.06,66.66112,-11.89603,6821.41,8733.64,2.78,2.69,55.6,-0.386,19.57,21.22,02a59525o0287c
471,59526.441814,21.223,0.728,12,9,c,0,1.01,66.66112,-11.89603,3809.54,1746.08,2.42,2.35,-71.8,-0.398,19.66,21.52,02a59526o0565c
