         MJD         m       dm     uJy  duJy F  err  chi/N      RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57755.640457 19.766969      NaN   -15.5    15 c    0   1.00 159.807 -26.64092  6749.35  7913.50 3.60 3.50  88.9 -0.442    19.70 21.67 02a57755o0858c 0xc00800        -0.5
57755.649627 19.696897      NaN   -18.5    16 c    0   0.83 159.807 -26.64092  6714.96  7973.28 3.75 3.60  85.5 -0.429    19.64 21.60 02a57755o0876c 0xc00800        -0.5
57779.531997 19.436675      NaN    15.5    15 c    0   1.33 159.807 -26.64092  6155.66  8335.22 3.65 3.62 -24.1 -0.454    19.73 21.81 02a57779o0611c 0xc00800        -0.5
57779.548044 19.454622      NaN     5.5    18 c    0   0.84 159.807 -26.64092  6139.83  8296.66 3.75 3.69  72.0 -0.437    19.71 21.77 02a57779o0642c 0xc00900        -0.5
57779.564140 19.631075      NaN    -0.5    17 c    0   0.91 159.807 -26.64092  6194.45  8373.98 3.61 3.59 -28.7 -0.458    19.71 21.74 02a57779o0673c 0xc00800        -0.5
57779.579679 19.569016      NaN    -0.5    18 c    0   0.94 159.807 -26.64092  6212.85  8256.08 3.94 3.85  33.2 -0.423    19.68 21.78 02a57779o0703c 0xc00800        -0.5
57779.595084 19.436675      NaN     9.5    17 c    0   1.13 159.807 -26.64092  6180.13  8314.51 3.89 3.79  13.8 -0.427    19.66 21.75 02a57779o0733c 0xc00800        -0.5
57783.527260 19.841877      NaN    -7.5    14 c    0   1.12 159.807 -26.64092  5224.23  6508.98 3.89 3.74 -89.0 -0.387    19.69 21.81 02a57783o0594c 0xc00800        -0.5
57783.543369 19.766969      NaN    -6.5    15 c    0   1.00 159.807 -26.64092  5207.91  6469.95 3.88 3.72 -86.9 -0.384    19.69 21.79 02a57783o0625c 0xc00900        -0.5
57783.559600 19.696897      NaN   -27.5    16 c    0   0.96 159.807 -26.64092  5262.92  6546.87 4.09 3.94 -81.2 -0.372    19.63 21.83 02a57783o0656c 0xc00800        -0.5
57783.575718 19.419021      NaN    16.5    15 c    0   0.95 159.807 -26.64092  5282.88  6429.11 3.87 3.70 -83.2 -0.388    19.71 21.85 02a57783o0687c 0xc00900        -0.5
57783.591797 19.696897      NaN   -28.5    16 c    0   0.94 159.807 -26.64092  5251.15  6487.05 4.00 3.86 -84.9 -0.384    19.66 21.85 02a57783o0718c 0xc00800        -0.5
57787.502251 19.841877      NaN    -4.5    14 c    0   1.04 159.807 -26.64092  4401.81  5303.43 3.85 3.72  73.5 -0.379    19.76 21.91 02a57787o0554c 0xc00800        -0.5
57787.512155 19.922338      NaN   -30.5    13 c    0   0.97 159.807 -26.64092  4386.17  5264.67 3.85 3.72  72.0 -0.379    19.76 21.91 02a57787o0574c 0xc00800        -0.5
57787.526990 19.841877      NaN    -7.5    14 c    0   1.01 159.807 -26.64092  4439.15  5343.97 3.92 3.76  75.6 -0.372    19.74 21.90 02a57787o0602c 0xc00800        -0.5
57787.538664 19.841877      NaN     2.5    13 c    0   1.17 159.807 -26.64092  4457.80  5228.51 3.71 3.59  80.8 -0.386    19.77 21.84 02a57787o0626c 0xc00800        -0.5
57787.555365 19.436675      NaN    15.5    15 c    0   0.83 159.807 -26.64092  4424.31  5288.93 3.80 3.66  81.7 -0.380    19.76 21.88 02a57787o0659c 0xc00900        -0.5
57803.513764 19.454622      NaN   -17.5    20 c    0   1.06 159.807 -26.64092  7242.64  6723.72 3.73 3.47  87.7 -0.415    19.33 20.97 02a57803o0573c 0xc00800        -0.5
57803.525435 19.569016      NaN   -18.5    18 c    0   1.09 159.807 -26.64092  7227.87  6683.83 3.74 3.49  86.8 -0.411    19.30 20.92 02a57803o0596c 0xc00800        -0.5
57803.549325 19.287255      NaN     9.5    20 c    0   1.22 159.807 -26.64092  7300.74  6642.88 3.77 3.58  85.3 -0.405    19.18 20.75 02a57803o0643c 0xc00800        -0.5
57803.561013 19.102305      NaN    16.5    22 c    0   0.91 159.807 -26.64092  7267.51  6698.93 3.68 3.44 -88.5 -0.423    19.16 20.68 02a57803o0666c 0xc00800        -0.5
57807.497762 19.631075      NaN   -19.5    17 c    0   1.03 159.807 -26.64092  4501.60  8426.69 4.13 3.99  51.3 -0.388    19.59 21.73 02a57807o0522c 0xc00800        -0.5
