         MJD         m       dm    uJy  duJy F  err   chi/N       RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs     Mask  uJy_offset
57715.455764 19.351140      NaN   -9.5    22 c    0    1.13 58.62571 -34.66868  5790.26 10260.34 4.73 4.41   9.8 -0.362    19.04 21.25 02a57715o0537c 0xc00a00        10.5
57715.460923 19.155932      NaN   14.5    25 c    0    0.83 58.62571 -34.66868  9168.16   500.83 4.64 4.53  23.1 -0.369    19.47 21.63 02a57715o0547c 0xc00800        10.5
57715.474356 15.183570      NaN 1456.5   540 c    0    0.32 58.62571 -34.66868  9233.77   577.36 4.56 4.50  47.3 -0.391    17.96 19.99 02a57715o0573c 0xc00802        10.5
57715.488314 18.550302      NaN  -42.5    46 c    0    0.95 58.62571 -34.66868  9253.66   461.13 5.05 4.72  -0.5 -0.369    19.17 21.32 02a57715o0600c 0xc00800        10.5
57747.362308 19.569016      NaN    7.5    18 c    0    1.30 58.62571 -34.66868  9225.39   803.77 4.21 4.11  69.5 -0.404    19.49 21.49 02a57747o0352c 0xc00800        10.5
57747.370866 21.202047      NaN  -62.5     4 c    0 2280.26 58.62571 -34.66868  5834.12 10522.55 4.29 4.07  22.7 -0.400    19.42 21.38 02a57747o0369c 0xc00801        10.5
57747.375381 19.063754      NaN   39.5    19 c    0    1.00 58.62571 -34.66868  9210.68   764.43 4.23 4.16  26.4 -0.408    19.48 21.47 02a57747o0378c 0xc00800        10.5
57747.388438 19.569016      NaN    0.5    18 c    0    1.33 58.62571 -34.66868  9258.99   843.76 4.55 4.16   2.6 -0.394    19.43 21.46 02a57747o0404c 0xc00800        10.5
57747.401479 19.401649      NaN   -6.5    21 c    0    1.03 58.62571 -34.66868  9277.77   724.54 4.35 4.20  -2.4 -0.407    19.45 21.44 02a57747o0430c 0xc00800        10.5
57747.414469 19.401649      NaN   -5.5    21 c    0    0.86 58.62571 -34.66868  9246.79   784.12 4.24 4.08  11.5 -0.410    19.44 21.39 02a57747o0456c 0xc00800        10.5
57755.332296 19.841877      NaN  -11.5    14 c    0    1.23 58.62571 -34.66868  1927.58  2134.88 3.87 3.82 -32.9 -0.390    19.71 21.70 02a57755o0269c 0xc00800        10.5
57755.344841 19.696897      NaN   -0.5    16 c    0    1.10 58.62571 -34.66868  1896.48  2093.67 3.89 3.86 -57.9 -0.387    19.68 21.66 02a57755o0293c 0xc00800        10.5
